word,emotion
àbac,trust
abandonar,fear
abandonar,sadness
abandonat,anger
abandonat,fear
abandonat,sadness
abandó,anger
abandó,fear
abandó,sadness
abandó,surprise
abat,trust
segrest,fear
segrest,sadness
segrest,surprise
aberració,disgust
abhor,anger
abhor,disgust
abhor,fear
abominable,anger
abominable,disgust
abominable,fear
abjecte,disgust
anormal,disgust
abolir,anger
abominació,anger
abominació,disgust
abominació,fear
avortament,disgust
avortament,fear
avortament,sadness
abortiu,sadness
abrupte,surprise
abscés,sadness
absència,fear
absència,sadness
absent,sadness
absolució,joy
absolució,trust
abundància,anticipation
abundància,disgust
abundància,joy
abundància,trust
abundant,joy
abús,anger
abús,disgust
abús,fear
abús,sadness
abismal,sadness
abisme,fear
abisme,sadness
acadèmic,trust
accelerar,anticipation
accident,fear
accident,sadness
accident,surprise
accidental,fear
accidental,surprise
accidentalment,surprise
acolliment,anticipation
acolliment,joy
acolliment,surprise
acolliment,trust
acompanyament,anticipation
acompanyament,joy
acompanyament,trust
aconseguir,joy
realitzat,joy
acord,trust
compte,trust
responsabilitat,trust
responsable,trust
comptador,trust
comptes,trust
acreditat,trust
precís,trust
maldestre,anger
maldestre,fear
maldestre,sadness
acusació,anger
acusació,disgust
acusat,anger
acusat,fear
acusador,anger
acusador,fear
acusant,anger
acusant,fear
dolor,sadness
aconseguir,trust
assoliment,anticipation
assoliment,joy
assoliment,trust
adquirint,anticipation
Acrobat,fear
Acrobat,joy
Acrobat,trust
accionable,anger
accionable,disgust
adder,anger
adder,disgust
adder,fear
adder,sadness
adreces,anticipation
adherir,trust
adjudicat,fear
administrativa,trust
admirable,joy
admirable,trust
almirall,trust
admiració,joy
admiració,trust
admirar,trust
admissible,trust
admonició,fear
adorable,joy
adoració,joy
adoració,trust
adorar,anticipation
adorar,joy
adorar,trust
a la deriva,anticipation
a la deriva,fear
a la deriva,sadness
adulteri,disgust
adulteri,sadness
avance,anticipation
avance,fear
avance,joy
avance,surprise
avinguda,anticipation
avinguda,joy
avinguda,trust
aventura,anticipation
adversari,anger
advers,anger
advers,disgust
advers,fear
advers,sadness
adversitat,anger
adversitat,fear
adversitat,sadness
consells,trust
recomanable,trust
aconsellar,trust
aconsellat,trust
assessor,trust
advocacia,anger
advocacia,anticipation
advocacia,joy
advocacia,trust
advocar,trust
estètica,joy
afecte,joy
afecte,trust
afirmar,trust
afirmativament,trust
aflicció,fear
aflicció,sadness
aflicció,disgust
riquesa,joy
afrontament,anger
afrontament,disgust
afrontament,fear
afrontament,sadness
afrontament,surprise
té por,fear
conseqüències,anger
