word,emotion
算盤,trust
放棄,fear
放棄,sadness
棄,anger
棄,fear
棄,sadness
放棄,anger
放棄,surprise
方丈,trust
綁架,fear
綁架,sadness
綁架,surprise
像差,disgust
痛恨,anger
痛恨,disgust
痛恨,fear
可惡,anger
可惡,disgust
可惡,fear
卑劣,disgust
不正常,disgust
廢除,anger
厭惡,anger
厭惡,disgust
厭惡,fear
流產,disgust
流產,fear
流產,sadness
未遂,sadness
突兀,surprise
膿腫,sadness
缺席,fear
缺席,sadness
缺席者,sadness
赦免,joy
赦免,trust
豐富,anticipation
豐富,disgust
豐富,joy
豐富,trust
濫用,anger
濫用,disgust
濫用,fear
濫用,sadness
深,sadness
深淵,fear
深淵,sadness
學術的,trust
加速,anticipation
事故,fear
事故,sadness
事故,surprise
偶然,fear
偶然,surprise
榮譽,anticipation
榮譽,joy
榮譽,surprise
榮譽,trust
伴奏,anticipation
伴奏,joy
伴奏,trust
完成,joy
符合,trust
帳戶,trust
問責,trust
會計,trust
賬戶,trust
認可,trust
準確,trust
詛咒,anger
詛咒,fear
詛咒,sadness
指控,anger
指控,disgust
被告,anger
被告,fear
原告,anger
原告,fear
指責,anger
指責,fear
疼痛,sadness
實現,joy
實現,trust
成就,anticipation
成就,joy
成就,trust
收購,anticipation
雜技演員,fear
雜技演員,joy
雜技演員,trust
訴,anger
訴,disgust
加法器,anger
加法器,disgust
加法器,fear
加法器,sadness
地址,anticipation
秉承,trust
裁定,fear
行政的,trust
令人欽佩,joy
令人欽佩,trust
上將,trust
欽佩,joy
欽佩,trust
欣賞,trust
受理,trust
警告,fear
可愛的,joy
崇拜,joy
崇拜,trust
崇拜,anticipation
漂浮,anticipation
漂浮,fear
漂浮,sadness
通姦,disgust
通姦,sadness
提前,anticipation
提前,fear
提前,joy
提前,surprise
來臨,anticipation
來臨,joy
來臨,trust
冒險,anticipation
對手,anger
不利的,anger
不利的,disgust
不利的,fear
不利的,sadness
逆境,anger
逆境,fear
逆境,sadness
忠告,trust
可取,trust
勸告,trust
建議,trust
顧問,trust
擁護,anger
擁護,anticipation
擁護,joy
擁護,trust
主張,trust
美學,joy
感情,joy
感情,trust
確認,trust
肯定地,trust
折磨,fear
折磨,sadness
痛苦,disgust
痛苦,fear
痛苦,sadness
富裕,joy
冒犯,anger
冒犯,disgust
冒犯,fear
冒犯,sadness
冒犯,surprise
害怕,fear
後果,anger
後果,disgust
後果,fear
後果,sadness
加重,anger
惱人的,anger
惱人的,sadness
加重,disgust
侵略,anger
侵略,fear
侵略性,anger
侵略性,fear
侵略者,anger
侵略者,fear
駭然,disgust
駭然,fear
駭然,surprise
激動,anger
攪動,anger
折騰,fear
痛苦,anger
合適的,trust
同意,trust
協議,trust
AIL,sadness
生病,fear
生病,sadness
飛機場,anticipation
擺架子,disgust
類似的,trust
報警,fear
報警,surprise
驚人,fear
驚人,surprise
酗酒,anger
酗酒,disgust
酗酒,fear
酗酒,sadness
警覺,anticipation
警覺,fear
警覺,surprise
警報,anticipation
警報,fear
警報,surprise
外僑,disgust
外僑,fear
離間,anger
離間,disgust
疏遠,sadness
異化,anger
異化,disgust
異化,fear
異化,sadness
活,anticipation
活,joy
活,trust
斷言,anger
忠誠,trust
聯盟,trust
聯盟的,trust
引誘,anticipation
引誘,joy
引誘,surprise
盟友,trust
阿羅哈,anticipation
阿羅哈,joy
爭吵,anger
驚奇,surprise
令人驚訝,joy
令人驚訝,surprise
大使,trust
志向,anticipation
志向,joy
志向,trust
救護車,fear
救護車,trust
伏擊,anger
伏擊,fear
伏擊,surprise
阿門,joy
阿門,trust
和睦,joy
氨,disgust
大赦,joy
折舊,trust
安非他明,disgust
遊玩,joy
樂,joy
娛樂,joy
有趣,joy
森蚺,disgust
森蚺,fear
分析人士,anticipation
分析人士,trust
無政府主義,anger
無政府主義,fear
無政府主義者,anger
無政府主義者,fear
無政府狀態,anger
無政府狀態,fear
詛咒,disgust
祖,trust
錨地,sadness
天使,anticipation
天使,joy
天使,surprise
天使,trust
憤怒,anger
心絞痛,fear
釣魚,anticipation
憤怒,disgust
動畫,joy
敵意,anger
敵意,disgust
敵意,fear
敵意,sadness
阿尼姆斯,anger
殲滅,anger
殲滅,fear
全軍覆沒,anger
全軍覆沒,fear
全軍覆沒,sadness
