word,emotion
abacus,trust
opgive,fear
opgive,sadness
forladt,anger
forladt,fear
forladt,sadness
opgivelse,anger
opgivelse,fear
opgivelse,sadness
opgivelse,surprise
abbed,trust
bortførelse,fear
bortførelse,sadness
bortførelse,surprise
aberration,disgust
afskyr,anger
afskyr,disgust
afskyr,fear
afskyeligt,anger
afskyeligt,disgust
afskyeligt,fear
ynkelig,disgust
abnorm,disgust
afskaffe,anger
vederstyggelige,disgust
vederstyggelige,fear
vederstyggelighed,anger
vederstyggelighed,disgust
vederstyggelighed,fear
abort,disgust
abort,fear
abort,sadness
forfejlede,sadness
brat,surprise
byld,sadness
fravær,fear
fravær,sadness
fraværende,sadness
syndsforladelse,joy
syndsforladelse,trust
overflod,anticipation
overflod,disgust
overflod,joy
overflod,trust
rigelig,joy
misbrug,anger
misbrug,disgust
misbrug,fear
misbrug,sadness
afgrundsdyb,sadness
afgrunden,fear
afgrunden,sadness
akademisk,trust
fremskynde,anticipation
ulykke,fear
ulykke,sadness
ulykke,surprise
tilfældig,fear
tilfældig,surprise
ved en fejltagelse,surprise
hyldest,anticipation
hyldest,joy
hyldest,surprise
hyldest,trust
akkompagnement,anticipation
akkompagnement,joy
akkompagnement,trust
opnå,joy
gennemført,joy
overenskomst,trust
konto,trust
ansvarlighed,trust
ansvarlig,trust
revisor,trust
konti,trust
akkrediteret,trust
nøjagtig,trust
forbandede,anger
forbandede,fear
forbandede,sadness
anklage,anger
anklage,disgust
anklagede,anger
anklagede,fear
anklager,anger
anklager,fear
beskylder,anger
beskylder,fear
smerte,sadness
opnå,trust
præstation,anticipation
præstation,joy
præstation,trust
smertende,sadness
erhverve,anticipation
akrobat,fear
akrobat,joy
akrobat,trust
handlingsrettede,anger
handlingsrettede,disgust
adder,anger
adder,disgust
adder,fear
adder,sadness
adresser,anticipation
vedhængende,trust
træffe afgørelse i sagen,fear
administrativ,trust
beundringsværdig,joy
beundringsværdig,trust
admiral,trust
beundring,joy
beundring,trust
beundre,trust
realitetsbehandling,trust
formaning,fear
yndig,joy
tilbedelse,joy
tilbedelse,trust
tilbede,anticipation
tilbede,joy
tilbede,trust
adrift,anticipation
adrift,fear
adrift,sadness
ægteskabsbrud,disgust
ægteskabsbrud,sadness
rykke,anticipation
rykke,fear
rykke,joy
rykke,surprise
advent,anticipation
advent,joy
advent,trust
eventyr,anticipation
modstander,anger
ugunstig,anger
ugunstig,disgust
ugunstig,fear
ugunstig,sadness
modgang,anger
modgang,fear
modgang,sadness
råd,trust
tilrådeligt,trust
rådgive,trust
rådgivet,trust
rådgiver,trust
fortalervirksomhed,anger
fortalervirksomhed,anticipation
fortalervirksomhed,joy
fortalervirksomhed,trust
fortaler,trust
æstetik,joy
kærlighed,joy
kærlighed,trust
bekræfte,trust
bekræftende,trust
plage,fear
plage,sadness
lidelse,disgust
lidelse,fear
lidelse,sadness
krænkelse,anger
krænkelse,disgust
krænkelse,fear
krænkelse,sadness
krænkelse,surprise
bange,fear
kølvandet,anger
kølvandet,disgust
kølvandet,fear
kølvandet,sadness
forværret,anger
forværret,sadness
forværring,anger
forværring,disgust
aggression,anger
aggression,fear
aggressiv,anger
aggressiv,fear
aggressor,anger
aggressor,fear
forfærdet,disgust
forfærdet,fear
forfærdet,surprise
ophidsede,anger
agitation,anger
pinefuld,fear
smerte,anger
smerte,fear
behagelig,trust
aftalt,trust
enige,trust
aftale,trust
Ail,sadness
skrantende,fear
skrantende,sadness
lufthavn,anticipation
