word,emotion
telraam,trust
in de steek laten,fear
in de steek laten,sadness
verlaten,anger
verlaten,fear
verlaten,sadness
verlatenheid,anger
verlatenheid,fear
verlatenheid,sadness
verlatenheid,surprise
abt,trust
ontvoering,fear
ontvoering,sadness
ontvoering,surprise
aberratie,disgust
verafschuwen,anger
verafschuwen,disgust
verafschuwen,fear
weerzinwekkend,anger
weerzinwekkend,disgust
weerzinwekkend,fear
verachtelijk,disgust
abnormaal,disgust
afschaffen,anger
afschuwelijk,disgust
afschuwelijk,fear
gruwel,anger
gruwel,disgust
gruwel,fear
abortus,disgust
abortus,fear
abortus,sadness
vruchteloos,sadness
abrupt,surprise
abces,sadness
afwezigheid,fear
afwezigheid,sadness
afwezig,sadness
afwezige,sadness
absolutie,joy
absolutie,trust
overvloed,anticipation
overvloed,disgust
overvloed,joy
overvloed,trust
overvloedig,joy
misbruik,anger
misbruik,disgust
misbruik,fear
misbruik,sadness
onpeilbaar,sadness
afgrond,fear
afgrond,sadness
academische,trust
versnellen,anticipation
ongeval,fear
ongeval,sadness
ongeval,surprise
onopzettelijk,fear
onopzettelijk,surprise
per ongeluk,surprise
accolade,anticipation
accolade,joy
accolade,surprise
accolade,trust
begeleiding,anticipation
begeleiding,joy
begeleiding,trust
bereiken,joy
volbracht,joy
overeenstemming,trust
account,trust
verantwoording,trust
verantwoordelijk,trust
accountant,trust
rekeningen,trust
geaccrediteerd,trust
accuraat,trust
vervloekt,anger
vervloekt,fear
vervloekt,sadness
beschuldiging,anger
beschuldiging,disgust
verdachte,anger
verdachte,fear
aanklager,anger
aanklager,fear
beschuldigen,anger
beschuldigen,fear
pijn,sadness
bereiken,trust
prestatie,anticipation
prestatie,joy
prestatie,trust
pijnlijke,sadness
verwerven,anticipation
acrobaat,fear
acrobaat,joy
acrobaat,trust
actiegericht,anger
actiegericht,disgust
adder,anger
adder,disgust
adder,fear
adder,sadness
adressen,anticipation
hechtende,trust
berechten,fear
administratief,trust
bewonderenswaardig,joy
bewonderenswaardig,trust
admiraal,trust
bewondering,joy
bewondering,trust
bewonderen,trust
toelaatbaar,trust
vermaning,fear
aanbiddelijk,joy
aanbidding,joy
aanbidding,trust
dol zijn op,anticipation
dol zijn op,joy
dol zijn op,trust
drijvend,anticipation
drijvend,fear
drijvend,sadness
overspel,disgust
overspel,sadness
van te voren,anticipation
van te voren,fear
van te voren,joy
van te voren,surprise
komst,anticipation
komst,joy
komst,trust
avontuur,anticipation
tegenstander,anger
nadelige,anger
nadelige,disgust
nadelige,fear
nadelige,sadness
tegenslag,anger
tegenslag,fear
tegenslag,sadness
advies,trust
raadzaam,trust
adviseren,trust
adviseerde,trust
raadgever,trust
voorspraak,anger
voorspraak,anticipation
voorspraak,joy
voorspraak,trust
pleiten voor,trust
schoonheidsleer,joy
genegenheid,joy
genegenheid,trust
bevestigen,trust
bevestigend,trust
teisteren,fear
teisteren,sadness
bezoeking,disgust
bezoeking,fear
bezoeking,sadness
rijkdom,joy
belediging,anger
belediging,disgust
belediging,fear
belediging,sadness
belediging,surprise
bang,fear
nasleep,anger
nasleep,disgust
nasleep,fear
nasleep,sadness
verergerd,anger
verzwarend,anger
verzwarend,sadness
verergering,anger
verergering,disgust
agressie,anger
agressie,fear
agressief,anger
agressief,fear
agressor,anger
agressor,fear
ontzet,disgust
ontzet,fear
ontzet,surprise
opgewonden,anger
agitatie,anger
pijnlijke,fear
doodsangst,anger
doodsangst,fear
doodsangst,sadness
aangenaam,trust
Akkoord,trust
akkoord,trust
overeenkomst,trust
ail,sadness
ziekelijk,fear
ziekelijk,sadness
luchthaven,anticipation
airs,disgust
verwant,trust
alarm,fear
alarm,surprise
zorgwekkend,fear
zorgwekkend,surprise
alcoholisme,anger
alcoholisme,disgust
alcoholisme,fear
alcoholisme,sadness
waakzaamheid,anticipation
waakzaamheid,fear
waakzaamheid,surprise
waarschuwingen,anticipation
waarschuwingen,fear
waarschuwingen,surprise
vreemdeling,disgust
vreemdeling,fear
vervreemden,anger
vervreemden,disgust
vervreemd,sadness
vervreemding,anger
vervreemding,disgust
vervreemding,fear
vervreemding,sadness
levend,anticipation
levend,joy
levend,trust
bewering,anger
trouw,trust
bondgenootschap,trust
geallieerd,trust
verleiden,anticipation
verleiden,joy
verleiden,surprise
bondgenoot,trust
aloha,anticipation
aloha,joy
woordenwisseling,anger
verbazen,surprise
verbazend,joy
verbazend,surprise
ambassadeur,trust
ambitie,anticipation
ambitie,joy
ambitie,trust
ambulance,fear
ambulance,trust
hinderlaag,anger
hinderlaag,fear
hinderlaag,surprise
amen,joy
amen,trust
minnelijk,joy
ammonia,disgust
amnestie,joy
afschrijvingen,trust
amfetaminen,disgust
amuseren,joy
geamuseerd,joy
amusement,joy
amusant,joy
anaconda,disgust
anaconda,fear
analyst,anticipation
analyst,trust
anarchisme,anger
anarchisme,fear
anarchist,anger
anarchist,fear
anarchie,anger
anarchie,fear
anathema,anger
anathema,disgust
anathema,fear
anathema,sadness
voorouderlijke,trust
ankerplaats,sadness
engel,anticipation
engel,joy
engel,surprise
engel,trust
engelachtig,joy
engelachtig,trust
boosheid,anger
angina,fear
hengelen,anticipation
boos,anger
boos,disgust
angst,anger
angst,fear
angst,sadness
geanimeerde,joy
vijandigheid,anger
vijandigheid,disgust
vijandigheid,fear
vijandigheid,sadness
animositeit,anger
vernietigen,anger
vernietigen,fear
vernietigd,anger
vernietigd,fear
vernietigd,sadness
vernietiging,anger
vernietiging,fear
vernietiging,sadness
Aankondiging,anticipation
ergeren,anger
ergeren,disgust
ergernis,anger
ergernis,disgust
vervelend,anger
afwijking,fear
afwijking,surprise
aansprakelijk,trust
antagonisme,anger
antagonist,anger
vijandig,anger
vijandig,disgust
miltvuur,disgust
miltvuur,fear
miltvuur,sadness
antichrist,anger
antichrist,disgust
antichrist,fear
verwachting,anticipation
vooruitlopend,anticipation
tegengif,anticipation
tegengif,trust
antifungale,trust
antipathie,anger
antipathie,disgust
antiseptisch,trust
antisociaal,anger
antisociaal,disgust
antisociaal,fear
antisociaal,sadness
tegenstelling,anger
angst,anticipation
angstig,anticipation
angstig,fear
apache,fear
