word,emotion
aaaaaaah,fear
abacus,trust
abandoned,sadness
abandoned,fear
abandonment,anger
abandonment,sadness
abandonment,fear
abandonment,surprise
abduction,sadness
abduction,fear
abduction,surprise
aberration,disgust
abeyance,anticipation
abhorrence,disgust
abhorrent,anger
abide,anticipation
abject,disgust
abominable,disgust
abominable,fear
abominate,disgust
abomination,disgust
abomination,anger
abomination,fear
abortion,fear
abortive,sadness
absentee,sadness
absolution,joy
absolution,trust
abundance,trust
abundance,joy
abundance,anticipation
abysmal,sadness
abyss,fear
accelerate,anticipation
accept,trust
acceptance,trust
accepted,trust
accepting,trust
accepts,trust
accidental,surprise
acclaim,trust
accolade,joy
accolade,anticipation
accolade,trust
accolade,surprise
accompaniment,trust
accompaniment,anticipation
accomplished,joy
accomplishment,joy
accountability,trust
accountable,trust
accredited,trust
accursed,sadness
accursed,anger
accursed,fear
accused,fear
accuser,anger
accuser,fear
accusing,fear
accusing,anger
achieved,joy
acquiring,anticipation
acrobat,fear
acrobat,trust
actionable,anger
actress,trust
addresses,anticipation
adhering,trust
adjudicate,fear
adjust,trust
administrative,trust
admiration,surprise
admire,surprise
admissible,trust
admit,trust
admitted,trust
admitting,trust
admonition,fear
adoration,trust
adoration,joy
adrift,anticipation
adrift,sadness
adrift,fear
advent,trust
advent,anticipation
adventure,joy
adventures,joy
adverse,anger
adverse,disgust
adverse,fear
adverse,sadness
adversity,sadness
advisable,trust
advised,trust
adviser,trust
advocacy,trust
advocacy,anticipation
aesthetics,joy
affirmatively,trust
afflict,fear
afflict,sadness
affliction,disgust
affront,fear
affront,surprise
affront,anger
affront,disgust
affront,sadness
aftermath,anger
aftermath,fear
aftermath,sadness
aftermath,disgust
aga,trust
agape,anticipation
agape,surprise
aggravated,anger
aggravates,anger
aggressively,anger
agh,anger
aghhh,fear
agonizing,fear
agoraphobia,fear
ahhhhhhhh,fear
akin,trust
aksesoris,trust
alarming,fear
alarming,surprise
alas,sadness
alertness,surprise
alertness,anticipation
alerts,fear
alerts,surprise
alerts,anticipation
alienated,sadness
alienation,anger
alienation,sadness
allegation,anger
alliance,joy
alliance,trust
allied,trust
alligator,fear
allsmiles,joy
almighty,joy
aloha,anticipation
aloha,joy
alone,sadness
altercation,anger
amazedness,surprise
amazement,surprise
amazingly,joy
amazingly,surprise
ambassador,trust
amicable,joy
amnesty,joy
amortization,trust
amour,joy
amour,trust
amour,anticipation
amphetamines,disgust
amused,joy
anaconda,disgust
anaconda,fear
analyst,anticipation
anarchism,fear
anarchism,anger
anathema,disgust
anathema,anger
anathema,sadness
anathema,fear
ancestral,trust
aneka,trust
angelic,joy
angelic,trust
angered,anger
angermanagement,anger
angina,fear
angling,anticipation
angriest,anger
angrytweet,anger
angst,sadness
animated,joy
animosity,disgust
animus,anger
annihilation,fear
annihilation,sadness
annoyed,anger
annoyin,anger
annoys,anger
annulment,sadness
anomaly,fear
anomaly,surprise
answerable,trust
anthrax,sadness
anthrax,fear
anthrax,disgust
antichrist,anger
antichrist,fear
antichrist,disgust
anticipate,anticipation
anticipatory,anticipation
antidote,anticipation
antidote,trust
antifungal,trust
antithesis,anger
antsy,fear
anxietyattack,fear
apache,fear
aphid,disgust
apocalypse,fear
apologetic,trust
apologize,trust
apologize,sadness
apostolic,trust
appalling,fear
appalling,disgust
applaud,trust
applause,joy
applause,trust
applause,surprise
applicant,anticipation
appreciated,joy
appreciates,joy
appreciation,trust
appreciation,joy
apprehensive,anticipation
apprehensive,fear
apprentice,trust
approaching,anticipation
approbate,trust
approbation,trust
approval,trust
approve,joy
approve,trust
approved,trust
approved,joy
approvement,trust
approving,trust
aquapix,trust
arbiter,trust
arbitration,anticipation
arbitrator,trust
ardent,anticipation
areyoukidding,anger
areyoukiddingme,anger
argh,anger
arghh,anger
arghhhh,anger
argumentation,anger
armaments,fear
armor,trust
armor,fear
armored,fear
armory,trust
aromatherapy,joy
arouse,anticipation
arraignment,fear
arraignment,sadness
arrogant,disgust
arrogant,anger
arsehole,anger
arseholes,anger
artillery,fear
artwork,joy
ashes,sadness
asp,fear
aspiration,anticipation
aspiration,joy
aspiration,surprise
aspiration,trust
aspire,trust
aspiring,anticipation
aspiring,joy
aspiring,trust
assail,fear
assail,surprise
assail,anger
assailant,sadness
assailant,anger
assailant,fear
assassinate,fear
assassinate,anger
assassination,sadness
asserting,trust
assessment,trust
assessor,trust
asshole,disgust
asshole,anger
assignee,trust
assurance,anticipation
assure,trust
assuredly,trust
asteroid,fear
astonish,surprise
astonishingly,surprise
astound,surprise
astrologer,anticipation
astronomer,anticipation
atherosclerosis,sadness
atherosclerosis,fear
athlete,trust
atone,trust
atone,anticipation
atpeace,joy
atrocious,disgust
atrocious,anger
atrocity,disgust
atrocity,anger
atrocity,sadness
atrocity,fear
atrophy,disgust
atrophy,sadness
atrophy,fear
attacking,sadness
attacking,disgust
attacking,surprise
attentive,trust
attenuation,sadness
attest,trust
attestation,trust
attorney,trust
attraction,trust
auditions,fear
auditor,trust
auditor,fear
aura,joy
auspices,anticipation
auspicious,joy
auspicious,anticipation
austere,fear
authentic,joy
authenticate,trust
authentication,trust
authenticity,trust
authoritative,trust
authorization,trust
authorize,trust
autism,trust
autopsy,sadness
autopsy,disgust
autopsy,fear
autumn,joy
avalanche,surprise
avalanche,sadness
avalanche,fear
avenger,anger
aversation,disgust
averse,disgust
averse,anger
averse,fear
averseness,disgust
avoiding,fear
awards,joy
awareness,trust
awe,surprise
awesomeness,joy
awestruck,surprise
axiom,trust
axiomatic,trust
babysitter,trust
backbone,trust
backer,trust
backoff,anger
backwater,sadness
bacterium,disgust
bacterium,fear
badday,sadness
badfeeling,fear
baggage,trust
bailiff,trust
balance,joy
ballot,anticipation
balm,anticipation
bane,disgust
bane,fear
bane,anger
banger,surprise
banger,fear
banger,anger
banger,anticipation
banish,disgust
banished,fear
banished,anger
banished,sadness
banishment,disgust
banishment,sadness
banishment,anger
bankruptcy,disgust
bankruptcy,sadness
bankruptcy,fear
banquet,joy
banquet,anticipation
baptismal,joy
barb,anger
barf,disgust
barge,anger
barks,anger
bartender,trust
barter,trust
bastarding,anger
bastards,anger
bastion,anger
battalion,anger
batter,fear
battled,fear
battled,anger
battled,sadness
battlefield,fear
bawl,sadness
bbw,trust
bday,joy
beaches,joy
beaming,joy
beaming,anticipation
bearish,anger
bearish,fear
beautification,trust
beautification,joy
beautify,joy
bedrock,trust
befriend,joy
beginnings,joy
behappy,joy
behel,trust
behemoth,fear
beliefs,trust
believes,trust
belittle,disgust
belittle,anger
belittle,sadness
belittle,fear
bellows,anger
benedictory,trust
benevolence,trust
benevolence,joy
bequest,trust
bereaved,sadness
berminat,trust
bestdayever,joy
bestfeeling,joy
bestfriends,joy
bestial,fear
bestial,disgust
besties,joy
betray,surprise
betrayal,sadness
betrayal,anger
betrayal,disgust
betrayed,sadness
betrothed,trust
betrothed,joy
betrothed,anticipation
bewilder,surprise
bewildered,fear
bewildered,surprise
bewilderment,fear
bickering,anger
bickering,disgust
biennial,anticipation
bier,sadness
bier,fear
biggestfear,fear
bigoted,fear
bigoted,anger
bigoted,sadness
biopsy,fear
bisa,trust
bitterly,disgust
bitterly,anger
bitterly,sadness
bitterness,disgust
bittersweet,sadness
blackout,fear
blasphemous,disgust
blatant,anger
blemish,fear
bless,anticipation
bless,trust
bless,joy
blessing,joy
blessing,anticipation
blessing,trust
blessings,surprise
blessings,trust
blessings,joy
blessings,anticipation
blighted,disgust
blighted,sadness
blindfold,surprise
blindfold,anticipation
blindly,sadness
blitz,surprise
blizzard,fear
blockade,fear
blockade,anger
blood,fear
bloodshed,disgust
bloodshed,surprise
bloodshed,sadness
bloodthirsty,fear
bloodthirsty,anger
bloodthirsty,disgust
bluddy,anger
bodyguard,trust
bogus,anger
bogus,disgust
boisterous,joy
boisterous,anticipation
boisterous,anger
bombard,fear
bombard,anger
bombardment,fear
bombed,disgust
bombers,fear
bombing,fear
bonanza,joy
bonding,joy
bonus,joy
bonus,anticipation
bonus,surprise
boomerang,trust
boomerang,anticipation
bothering,anger
bothering,sadness
bounce,trust
bounty,joy
bounty,anticipation
bounty,trust
bovine,disgust
boyfriend,joy
brat,anger
brave,trust
brawl,disgust
brazen,anger
breakdown,fear
breathless,surprise
breathtaking,joy
breeze,joy
bridal,joy
bridal,anticipation
bridal,trust
bridesmaid,trust
bridesmaid,joy
brighten,trust
brighten,joy
brighten,surprise
brightens,joy
brighter,joy
brimstone,fear
brimstone,anger
bristol,trust
broadside,anticipation
broil,anger
brokenheart,sadness
brotherly,trust
brotherly,joy
brotherly,anticipation
brrr,anger
bruh,trust
brunt,anger
brutality,fear
brutality,anger
buck,surprise
buddha,joy
buddhism,joy
buddhist,joy
buddy,anticipation
buffering,anger
bugaboo,anger
bugaboo,fear
bugaboo,sadness
bully,sadness
bummed,sadness
bummer,sadness
bunker,fear
burdensome,sadness
burdensome,fear
bureaucrat,disgust
burke,disgust
burke,fear
burke,anger
burlesque,surprise
bursary,trust
bury,sadness
buzz,anticipation
buzzing,joy
bylaw,trust
cabal,fear
cacophony,disgust
cacophony,anger
cadaver,fear
cadaver,surprise
cadaver,disgust
cadaver,sadness
calculator,trust
calls,trust
calls,anticipation
calm,joy
calming,joy
calmness,joy
camouflage,surprise
camouflaged,surprise
cancellation,sadness
candid,surprise
candid,anticipation
candid,joy
candlelight,joy
canker,anger
canker,disgust
cannibal,disgust
cannibalism,disgust
canons,trust
cantbreathe,fear
canthandleit,fear
cantstandit,anger
cantwin,anger
capacity,trust
captivate,trust
captor,fear
carcass,fear
carcass,disgust
carcass,sadness
carcinoma,sadness
carcinoma,fear
cardiomyopathy,sadness
cardiomyopathy,fear
carefree,joy
careful,trust
carelessness,anger
carelessness,disgust
carl,trust
carnage,sadness
carnage,disgust
carnage,fear
carnage,anger
carnage,surprise
carnival,joy
carnivorous,fear
carols,joy
casket,fear
casket,sadness
castrate,anger
cataract,anticipation
catechism,disgust
cautionary,fear
cautious,trust
celebrate,joy
celebrating,anticipation
celebrating,joy
celebrations,joy
celebratory,joy
celestial,anticipation
certified,trust
certify,trust
cess,disgust
chagrin,disgust
chagrin,sadness
chairwoman,trust
challenges,trust
champion,trust
chandler,trust
changeable,anticipation
changeable,surprise
chaotic,anger
chaplain,trust
chargeable,fear
charitable,anticipation
charitable,trust
charitable,joy
charmed,joy
chased,fear
checklist,trust
cheered,joy
cheering,joy
cheers,joy
chicane,surprise
chicane,anticipation
chicane,trust
childloss,sadness
chill,joy
chimera,surprise
chimera,fear
chirping,joy
choices,trust
cholera,fear
cholera,sadness
cholera,disgust
christ,joy
christian,joy
christmas,joy
christmasbreak,joy
christmaseve,joy
christmasspirit,joy
christmassy,joy
christmastime,joy
chronic,sadness
chronicle,trust
chubby,trust
circle,trust
circumstances,trust
civilization,trust
civilized,trust
clamor,surprise
clamor,anticipation
clamor,anger
clapping,trust
clarity,joy
clashing,fear
clashing,anger
claustrophobia,fear
claustrophobic,fear
clearance,trust
cleave,fear
clerical,trust
clinical,fear
cloak,fear
closure,anticipation
clouded,sadness
coalesce,trust
cobra,fear
cocoa,joy
coercion,fear
coercion,sadness
coercion,disgust
coercion,anger
coexist,trust
coexisting,trust
coffee,joy
cogent,trust
cohesion,trust
cohesive,trust
coincidence,surprise
coldsweat,fear
collaborator,trust
collateral,trust
collectively,trust
collins,trust
collusion,sadness
collusion,disgust
collusion,fear
collusion,anger
comatose,sadness
comatose,fear
combatant,anger
combatant,fear
combative,fear
combative,anger
comforting,joy
comfy,joy
commanding,trust
commemorate,anticipation
commemorate,joy
commemoration,joy
commemoration,anticipation
commemorative,anticipation
commend,trust
commendable,joy
commendable,trust
commendation,trust
commission,trust
committal,sadness
committed,trust
commodore,trust
commonplace,trust
commonwealth,trust
communion,trust
compact,trust
compassion,trust
compassionate,trust
compensate,surprise
competence,trust
competency,trust
complement,surprise
complement,anticipation
complement,joy
complement,trust
complete,joy
completing,anticipation
completing,joy
compliance,trust
compliment,anticipation
compliment,surprise
complimentary,trust
comptroller,trust
concealed,anticipation
concealed,surprise
concealed,fear
concealment,anger
concealment,anticipation
conciliation,joy
conciliation,trust
concussion,anger
condescension,disgust
condescension,anger
condescension,sadness
condolence,sadness
condolences,sadness
confederate,trust
confess,sadness
confession,trust
confession,surprise
confessional,trust
confidence,anticipation
confidential,trust
confidentially,trust
confined,anger
confined,disgust
confirmation,trust
confirmed,trust
confiscate,anger
confiscate,sadness
conflagration,fear
conformity,trust
confusion,sadness
conglomerate,trust
congrats,joy
congratulatory,joy
congress,disgust
congressman,trust
congruence,trust
conjecture,anticipation
conjure,surprise
conjure,anticipation
connective,trust
connoisseur,joy
connoisseur,trust
conquer,trust
conquer,fear
conquest,anger
conquest,fear
conscientious,trust
consecration,sadness
consecration,anticipation
consecration,trust
consequent,anticipation
conservation,trust
conservation,anticipation
consistency,trust
consort,trust
conspiracy,fear
conspirator,anticipation
conspirator,anger
conspirator,disgust
conspirator,fear
constancy,trust
constantly,trust
consternation,anger
consternation,fear
constitute,trust
constitutional,trust
constrain,fear
constraint,anger
constraint,sadness
constraint,fear
consul,trust
contagion,fear
contagion,anticipation
contagion,disgust
contagiously,trust
contains,trust
contaminate,disgust
contaminated,fear
contaminated,sadness
contamination,disgust
contemplate,anticipation
contemplation,anticipation
contemptible,anger
contemptible,disgust
contemptuous,anger
contented,joy
contentious,disgust
contentious,anger
contentious,fear
contentment,joy
contingent,anticipation
continuation,anticipation
contributor,trust
convergence,anticipation
conveyancing,trust
convince,anticipation
convincing,trust
cookies,joy
coop,disgust
cooperating,trust
cooperative,trust
copycat,disgust
corroborate,trust
corroboration,trust
corrosive,fear
corrupting,sadness
corrupting,disgust
corrupting,anger
corrupting,fear
corse,sadness
cosmopolitan,trust
counsellor,trust
counselor,trust
countdown,anticipation
counted,trust
countenance,trust
courage,trust
courageous,trust
courier,trust
courtship,joy
courtship,trust
courtship,anticipation
cousins,joy
covenant,trust
cowardice,sadness
cowardly,fear
coyote,fear
cozy,joy
crabby,anger
crafts,joy
cram,fear
cramp,anticipation
cranky,anger
craps,anticipation
crazed,fear
crazed,anger
creativity,joy
credence,trust
credential,trust
credibility,trust
creditable,trust
cretins,anger
crew,trust
cried,sadness
crime,fear
criminality,fear
criminality,anger
criminality,disgust
crippling,fear
crisis,fear
criticise,sadness
criticize,anger
criticize,fear
criticize,disgust
criticize,sadness
critter,disgust
crouching,fear
crowds,fear
crowning,joy
crowning,surprise
crowning,anticipation
crowning,trust
crucial,trust
crucifixion,disgust
cruelly,fear
cruelly,anger
cruising,joy
crumbling,sadness
crumpled,trust
crusade,fear
crusade,anger
crushing,sadness
crusty,disgust
cuckold,disgust
cuddled,joy
cuddles,joy
cuddling,joy
cue,anticipation
culinary,trust
cult,fear
cumbersome,sadness
cupping,fear
curable,trust
curfew,trust
curiosity,anticipation
curiosity,surprise
curious,anticipation
cursed,fear
cursed,anger
cursed,sadness
cursing,anger
cursing,disgust
cussed,anger
custodian,trust
cutie,joy
cutter,fear
cutthroat,fear
cutthroat,anger
cyclone,surprise
cyclone,fear
cystic,disgust
cytomegalovirus,sadness
daemon,anger
daemon,surprise
daemon,sadness
daemon,disgust
daemon,fear
damnation,sadness
damper,sadness
dancing,joy
dangerously,fear
dangit,anger
darken,sadness
darken,fear
darkened,fear
darkened,sadness
darkest,trust
darkside,anger
dashed,fear
dashed,anger
dashed,sadness
dastardly,fear
dastardly,anger
dastardly,disgust
date,joy
datenight,joy
daymade,joy
dayoff,joy
daze,surprise
dazzle,surprise
deadline,fear
dealings,trust
dealt,trust
dearest,joy
debacle,fear
debacle,sadness
debauchery,disgust
debauchery,fear
debenture,anticipation
debris,disgust
deceased,sadness
deceived,anger
decompose,disgust
decomposed,sadness
decomposition,fear
decomposition,disgust
decomposition,sadness
decorating,joy
decoy,surprise
decry,anger
dedication,trust
deepest,trust
defamation,fear
defamation,disgust
defamatory,anger
defeated,trust
defeated,sadness
defect,anger
defection,fear
defective,disgust
defendant,anger
defendant,fear
defense,anticipation
defenseless,fear
defenseless,sadness
deference,trust
defiance,fear
defiance,disgust
defiance,anger
defiant,anger
define,trust
definitive,trust
deflate,anger
deflation,fear
deform,disgust
deformed,sadness
deformity,disgust
defraud,anger
defraud,disgust
defy,surprise
defy,sadness
degeneracy,disgust
degeneracy,anger
degeneracy,sadness
degrading,sadness
degrading,disgust
degrading,fear
delegate,trust
deleterious,disgust
deleterious,fear
deleterious,anger
delighted,surprise
delirious,sadness
delirium,disgust
delirium,sadness
deliverance,anticipation
deliverance,joy
deliverance,trust
deluge,surprise
deluge,sadness
delusion,sadness
delusion,fear
delusion,anger
delusional,anger
deluxe,trust
dementia,sadness
dementia,fear
demise,fear
demise,sadness
demolish,anger
demolish,sadness
demolished,sadness
demonic,disgust
demonic,anger
demonic,fear
demonic,sadness
demoralized,fear
demoralized,sadness
denounce,anger
dentist,fear
dentists,fear
denunciation,disgust
denunciation,anger
denunciation,fear
denying,trust
denying,anticipation
departed,sadness
depend,anticipation
depend,trust
dependence,sadness
deplorable,sadness
deplorable,disgust
deplorable,fear
deplorable,anger
deplore,disgust
deplore,sadness
deplore,anger
deport,fear
deport,sadness
deportation,anger
deportation,sadness
deportation,fear
depository,trust
depraved,anticipation
depraved,disgust
depreciate,anger
depreciate,disgust
depreciated,disgust
depreciated,sadness
depreciated,anger
depreciated,fear
depreciation,fear
depression,fear
depresson,fear
deprived,sadness
deputy,trust
deranged,fear
deranged,disgust
deranged,anger
derision,disgust
derision,anger
dermatologist,trust
derogation,sadness
derogation,disgust
derogation,fear
derogation,anger
derogatory,anger
derogatory,fear
derogatory,sadness
derogatory,disgust
descent,sadness
descent,fear
desecration,disgust
desecration,fear
desecration,sadness
desecration,anger
deserve,anticipation
designation,trust
desire,joy
desires,trust
despairing,sadness
despairing,fear
desperation,sadness
desperation,fear
despotic,fear
despotism,disgust
despotism,sadness
despotism,anger
despotism,fear
destination,joy
destined,anticipation
destined,trust
destiny,anticipation
destiny,joy
destruction,fear
detainee,sadness
detainee,fear
detainee,anticipation
detainee,anger
detention,sadness
deteriorate,sadness
deteriorate,fear
deteriorated,disgust
deteriorated,sadness
deterioration,anger
deterioration,disgust
deterioration,fear
deterioration,sadness
determinate,anticipation
determinate,trust
detestation,disgust
detonate,fear
detonate,surprise
detonation,anger
devastate,fear
devastate,anger
devastate,sadness
devastated,sadness
devastating,fear
devastating,anger
devastating,sadness
devastating,disgust
deviation,sadness
devotional,trust
devotional,joy
devout,joy
devout,anticipation
devout,trust
dha,trust
diagnosis,anticipation
diagnosis,fear
diagnosis,trust
diaper,disgust
diatribe,anger
diatribe,disgust
dickhead,anger
dicks,anger
dictatorial,anger
dictum,trust
died,sadness
dietary,anticipation
differences,trust
differential,trust
differently,surprise
digit,trust
dignity,joy
digress,anticipation
dike,fear
dilapidated,disgust
dilapidated,sadness
diligence,trust
diplomacy,anticipation
diplomacy,trust
diplomatic,trust
dire,surprise
dire,disgust
disable,sadness
disable,fear
disabled,fear
disagreeing,anger
disagreeing,sadness
disagreement,sadness
disallowed,fear
disallowed,sadness
disallowed,disgust
disallowed,anger
disapointment,anger
disappointed,anger
disappointed,sadness
disappointed,disgust
disappointing,sadness
disapproved,anger
disapproved,sadness
disapproving,anger
disapproving,disgust
disapproving,sadness
disastrous,sadness
disastrous,anger
disastrous,fear
disclaim,disgust
disclaim,anger
disclaim,trust
disclosed,trust
discoloration,disgust
discolored,disgust
disconnect,sadness
disconnected,sadness
disconnects,anger
discontent,disgust
discontent,sadness
discontinuity,sadness
discontinuity,disgust
discontinuity,fear
discord,anger
discord,disgust
discreet,anticipation
discretion,anticipation
discretion,trust
discriminate,anger
discriminate,sadness
discriminating,disgust
discrimination,anger
discrimination,fear
discrimination,disgust
discrimination,sadness
diseased,fear
diseased,disgust
diseased,sadness
disembodied,sadness
disembodied,fear
disfigured,anger
disfigured,disgust
disfigured,sadness
disfigured,fear
disgraced,anger
disgraced,sadness
disgraced,disgust
disgruntled,anger
disgruntled,sadness
disgruntled,disgust
disheartened,sadness
disheartening,sadness
dishonor,sadness
dishonor,fear
dishonor,anger
dishonor,disgust
disillusionment,anger
disillusionment,sadness
disillusionment,disgust
disinclination,disgust
disincline,disgust
disinformation,fear
disingenuous,disgust
disliked,sadness
disliked,anger
disliked,disgust
disliking,disgust
dismay,anticipation
dismemberment,fear
dismemberment,sadness
dismemberment,disgust
dismissal,anger
dismissal,fear
dismissal,sadness
dismissal,disgust
dismissal,surprise
disobedience,disgust
disobedience,anger
disobedient,anger
disparage,anger
disparage,sadness
disparaging,sadness
