word,emotion
abacus,trust
abandon,fear
abandon,sadness
abandoned,anger
abandoned,fear
abandoned,sadness
abandonment,anger
abandonment,fear
abandonment,sadness
abandonment,surprise
abbot,trust
abduction,fear
abduction,sadness
abduction,surprise
aberration,disgust
abhor,anger
abhor,disgust
abhor,fear
abhorrent,anger
abhorrent,disgust
abhorrent,fear
abject,disgust
abnormal,disgust
abolish,anger
abominable,disgust
abominable,fear
abomination,anger
abomination,disgust
abomination,fear
abortion,disgust
abortion,fear
abortion,sadness
abortive,sadness
abrupt,surprise
abscess,sadness
absence,fear
absence,sadness
absent,sadness
absentee,sadness
absolution,joy
absolution,trust
abundance,anticipation
abundance,disgust
abundance,joy
abundance,trust
abundant,joy
abuse,anger
abuse,disgust
abuse,fear
abuse,sadness
abysmal,sadness
abyss,fear
abyss,sadness
academic,trust
accelerate,anticipation
accident,fear
accident,sadness
accident,surprise
accidental,fear
accidental,surprise
accidentally,surprise
accolade,anticipation
accolade,joy
accolade,surprise
accolade,trust
accompaniment,anticipation
accompaniment,joy
accompaniment,trust
accomplish,joy
accomplished,joy
accord,trust
account,trust
accountability,trust
accountable,trust
accountant,trust
accounts,trust
accredited,trust
accurate,trust
accursed,anger
accursed,fear
accursed,sadness
accusation,anger
accusation,disgust
accused,anger
accused,fear
accuser,anger
accuser,fear
accusing,anger
accusing,fear
ache,sadness
achieve,joy
achieve,trust
achievement,anticipation
achievement,joy
achievement,trust
aching,sadness
acquiring,anticipation
acrobat,fear
acrobat,joy
acrobat,trust
actionable,anger
actionable,disgust
adder,anger
adder,disgust
adder,fear
adder,sadness
addresses,anticipation
adhering,trust
adjudicate,fear
administrative,trust
admirable,joy
admirable,trust
admiral,trust
admiration,joy
admiration,trust
admire,trust
admissible,trust
admonition,fear
adorable,joy
adoration,joy
adoration,trust
adore,anticipation
adore,joy
adore,trust
adrift,anticipation
adrift,fear
adrift,sadness
adultery,disgust
adultery,sadness
advance,anticipation
advance,fear
advance,joy
advance,surprise
advent,anticipation
advent,joy
advent,trust
adventure,anticipation
adversary,anger
adverse,anger
adverse,disgust
adverse,fear
adverse,sadness
adversity,anger
adversity,fear
adversity,sadness
advice,trust
advisable,trust
advise,trust
advised,trust
adviser,trust
advocacy,anger
advocacy,anticipation
advocacy,joy
advocacy,trust
advocate,trust
aesthetics,joy
affection,joy
affection,trust
affirm,trust
affirmatively,trust
afflict,fear
afflict,sadness
affliction,disgust
affliction,fear
affliction,sadness
affluence,joy
affront,anger
affront,disgust
affront,fear
affront,sadness
affront,surprise
afraid,fear
aftermath,anger
aftermath,disgust
aftermath,fear
aftermath,sadness
aga,fear
aga,trust
aggravated,anger
aggravating,anger
aggravating,sadness
aggravation,anger
aggravation,disgust
aggression,anger
aggression,fear
aggressive,anger
aggressive,fear
aggressor,anger
aggressor,fear
aghast,disgust
aghast,fear
aghast,surprise
agitated,anger
agitation,anger
agonizing,fear
agony,anger
agony,fear
agony,sadness
agreeable,trust
agreed,trust
agreeing,trust
agreement,trust
ail,sadness
ailing,fear
ailing,sadness
