word,emotion
Abakus,trust
verlassen,fear
verlassen,sadness
verlassen,anger
Aufgabe,anger
Aufgabe,fear
Aufgabe,sadness
Aufgabe,surprise
Abt,trust
Entführung,fear
Entführung,sadness
Entführung,surprise
Abweichung,disgust
verabscheuen,anger
verabscheuen,disgust
verabscheuen,fear
abscheulich,anger
abscheulich,disgust
abscheulich,fear
abwesend,disgust
abnormal,disgust
abschaffen,anger
Gräuel,anger
Gräuel,disgust
Gräuel,fear
Abtreibung,disgust
Abtreibung,fear
Abtreibung,sadness
abtreibend,sadness
abrupt,surprise
Abszess,sadness
Abwesenheit,fear
Abwesenheit,sadness
abwesend,sadness
Absolution,joy
Absolution,trust
Fülle,anticipation
Fülle,disgust
Fülle,joy
Fülle,trust
reichlich,joy
Missbrauch,anger
Missbrauch,disgust
Missbrauch,fear
Missbrauch,sadness
miserabel,sadness
Abgrund,fear
Abgrund,sadness
akademisch,trust
beschleunigen,anticipation
Unfall,fear
Unfall,sadness
Unfall,surprise
versehentlich,fear
versehentlich,surprise
zufällig,surprise
Akkolade,anticipation
Akkolade,joy
Akkolade,surprise
Akkolade,trust
Begleitung,anticipation
Begleitung,joy
Begleitung,trust
erreichen,joy
erreicht,joy
Übereinstimmung,trust
Konto,trust
Rechenschaftspflicht,trust
verantwortlich,trust
Buchhalter,trust
Konten,trust
akkreditiert,trust
genau,trust
verflucht,anger
verflucht,fear
verflucht,sadness
Anklage,anger
Anklage,disgust
Angeklagte,anger
Angeklagte,fear
Ankläger,anger
Ankläger,fear
beschuldigt,anger
beschuldigt,fear
schmerzen,sadness
leisten,joy
leisten,trust
Leistung,anticipation
Leistung,joy
Leistung,trust
Schmerz,sadness
Erwerben,anticipation
Akrobat,fear
Akrobat,joy
Akrobat,trust
umsetzbar,anger
umsetzbar,disgust
Addierer,anger
Addierer,disgust
Addierer,fear
Addierer,sadness
Adressen,anticipation
haftend,trust
entscheiden,fear
administrativ,trust
bewundernswert,joy
bewundernswert,trust
Admiral,trust
Bewunderung,joy
Bewunderung,trust
bewundern,trust
zulässig,trust
Ermahnung,fear
bezaubernd,joy
Anbetung,joy
Anbetung,trust
verehren,anticipation
verehren,joy
verehren,trust
treibend,anticipation
treibend,fear
treibend,sadness
Ehebruch,disgust
Ehebruch,sadness
Voraus,anticipation
Voraus,fear
Voraus,joy
Voraus,surprise
Advent,anticipation
Advent,joy
Advent,trust
Abenteuer,anticipation
Gegner,anger
nachteilig,anger
nachteilig,disgust
nachteilig,fear
nachteilig,sadness
Unglück,anger
Unglück,fear
Unglück,sadness
Rat,trust
ratsam,trust
beraten,trust
empfohlen,trust
Berater,trust
Interessenvertretung,anger
Interessenvertretung,anticipation
Interessenvertretung,joy
Interessenvertretung,trust
befürworten,trust
Ästhetik,joy
Zuneigung,joy
Zuneigung,trust
bestätigen,trust
bejahend,trust
bedrängen,fear
bedrängen,sadness
Gebrechen,disgust
Gebrechen,fear
Gebrechen,sadness
Wohlstand,joy
Beleidigung,anger
Beleidigung,disgust
Beleidigung,fear
Beleidigung,sadness
Beleidigung,surprise
Angst,fear
Nachwirkungen,anger
Nachwirkungen,disgust
Nachwirkungen,fear
Nachwirkungen,sadness
verschärft,anger
verschlimmernd,anger
verschlimmernd,sadness
Verschlimmerung,anger
Verschlimmerung,disgust
Aggression,anger
Aggression,fear
aggressiv,anger
aggressiv,fear
Aggressor,anger
Aggressor,fear
entsetzt,disgust
entsetzt,fear
entsetzt,surprise
aufgeregt,anger
Agitation,anger
quälend,fear
Qual,anger
Qual,fear
Qual,sadness
angenehm,trust
einverstanden,trust
zustimmen,trust
Zustimmung,trust
ail,sadness
kränklich,fear
kränklich,sadness
Flughafen,anticipation
lüftet,disgust
ähnlich,trust
Alarm,fear
Alarm,surprise
alarmierend,fear
alarmierend,surprise
Alkoholismus,anger
Alkoholismus,disgust
Alkoholismus,fear
Alkoholismus,sadness
Wachsamkeit,anticipation
Wachsamkeit,fear
Wachsamkeit,surprise
Warnungen,anticipation
Warnungen,fear
Warnungen,surprise
Ausländer,disgust
Ausländer,fear
entfremden,anger
entfremden,disgust
entfremdet,sadness
Entfremdung,anger
