word,emotion
abacus,trust
apleisti,fear
apleisti,sadness
paliktas,anger
paliktas,fear
paliktas,sadness
atsisakymas,anger
atsisakymas,fear
atsisakymas,sadness
atsisakymas,surprise
abatas,trust
pagrobimas,fear
pagrobimas,sadness
pagrobimas,surprise
aberacija,disgust
šmeižti,anger
šmeižti,disgust
šmeižti,fear
nepatogus,anger
nepatogus,disgust
nepatogus,fear
abject,disgust
nenormalus,disgust
panaikinti,anger
bjaurus,disgust
bjaurus,fear
bjaurystė,anger
bjaurystė,disgust
bjaurystė,fear
abortas,disgust
abortas,fear
abortas,sadness
neveikianti,sadness
staiga,surprise
pūlinys,sadness
nebuvimas,fear
nebuvimas,sadness
nėra,sadness
absentee,sadness
atleidimas,joy
atleidimas,trust
gausa,anticipation
gausa,disgust
gausa,joy
gausa,trust
gausu,joy
piktnaudžiavimas,anger
piktnaudžiavimas,disgust
piktnaudžiavimas,fear
piktnaudžiavimas,sadness
apgailėtinas,sadness
bedugnė,fear
bedugnė,sadness
akademinis,trust
paspartinti,anticipation
avarija,fear
avarija,sadness
avarija,surprise
atsitiktinis,fear
atsitiktinis,surprise
atsitiktinai,surprise
apdovanojimas,anticipation
apdovanojimas,joy
apdovanojimas,surprise
apdovanojimas,trust
asortimentas,anticipation
asortimentas,joy
asortimentas,trust
įvykdyti,joy
įvykdytas,joy
susitarti,trust
sąskaita,trust
atskaitomybė,trust
atskaitingas,trust
buhalteris,trust
sąskaitos,trust
akredituotas,trust
tiksliai,trust
prakeiktas,anger
prakeiktas,fear
prakeiktas,sadness
kaltinimas,anger
kaltinimas,disgust
kaltinamas,anger
kaltinamas,fear
kaltinamasis,anger
kaltinamasis,fear
skauda,sadness
pasiekti,joy
pasiekti,trust
pasiekimas,anticipation
pasiekimas,joy
pasiekimas,trust
skausmas,sadness
įsigijimas,anticipation
akrobatas,fear
akrobatas,joy
akrobatas,trust
ginčytinas,anger
ginčytinas,disgust
papildiklis,anger
papildiklis,disgust
papildiklis,fear
papildiklis,sadness
adresai,anticipation
laikytis,trust
nuspręsti,fear
administracinis,trust
žavisi,joy
žavisi,trust
admirolas,trust
susižavėjimas,joy
susižavėjimas,trust
grožėtis,trust
priimtinas,trust
įspėjimas,fear
žavinga,joy
adoracija,joy
adoracija,trust
garbinti,anticipation
garbinti,joy
garbinti,trust
adrift,anticipation
adrift,fear
adrift,sadness
svetimavimu,disgust
svetimavimu,sadness
iš anksto,anticipation
iš anksto,fear
iš anksto,joy
iš anksto,surprise
Adventas,anticipation
Adventas,joy
Adventas,trust
nuotykis,anticipation
priešas,anger
neigiamas,anger
neigiamas,disgust
neigiamas,fear
neigiamas,sadness
nelaimė,anger
nelaimė,fear
nelaimė,sadness
patarimas,trust
patartinas,trust
patarti,trust
patarė,trust
patarėjas,trust
advokatas,anger
advokatas,anticipation
advokatas,joy
advokatas,trust
estetika,joy
meilė,joy
meilė,trust
patvirtinti,trust
teigiamai,trust
nerimauti,fear
nerimauti,sadness
nelaimė,disgust
gerovę,joy
apgauti,anger
apgauti,disgust
apgauti,fear
apgauti,sadness
apgauti,surprise
išsigandęs,fear
pasekmės,anger
pasekmės,disgust
pasekmės,fear
pasekmės,sadness
sustiprėja,anger
sunkinantis,anger
sunkinantis,sadness
pablogėjimas,anger
pablogėjimas,disgust
agresija,anger
agresija,fear
agresyvus,anger
agresyvus,fear
agresoriaus,anger
agresoriaus,fear
pyktis,disgust
pyktis,fear
pyktis,surprise
susijaudinęs,anger
agitacija,anger
agonizing,fear
agonija,anger
agonija,fear
agonija,sadness
malonus,trust
susitarta,trust
susitarimas,trust
ail,sadness
sergantis,fear
sergantis,sadness
oro uostas,anticipation
airs,disgust
artimas,trust
signalizacija,fear
signalizacija,surprise
nerimą keliantis,fear
nerimą keliantis,surprise
alkoholizmas,anger
alkoholizmas,disgust
alkoholizmas,fear
alkoholizmas,sadness
budrumas,anticipation
budrumas,fear
budrumas,surprise
perspėjimai,anticipation
perspėjimai,fear
perspėjimai,surprise
