word,emotion
kuleramme,trust
forlate,fear
forlate,sadness
forlatt,anger
forlatt,fear
forlatt,sadness
oppgivelse,anger
oppgivelse,fear
oppgivelse,sadness
oppgivelse,surprise
abbed,trust
bortføring,fear
bortføring,sadness
bortføring,surprise
aberrasjon,disgust
avsky,anger
avsky,disgust
avsky,fear
avskyelig,anger
avskyelig,disgust
avskyelig,fear
ynke,disgust
unormal,disgust
avskaffe,anger
styggedom,anger
styggedom,disgust
styggedom,fear
abort,disgust
abort,fear
abort,sadness
mislykket,sadness
brå,surprise
abscess,sadness
fravær,fear
fravær,sadness
fraværende,sadness
absolusjon,joy
absolusjon,trust
overflod,anticipation
overflod,disgust
overflod,joy
overflod,trust
rikelig,joy
misbruke,anger
misbruke,disgust
misbruke,fear
misbruke,sadness
abysmal,sadness
avgrunnen,fear
avgrunnen,sadness
akademisk,trust
akselerere,anticipation
ulykke,fear
ulykke,sadness
ulykke,surprise
utilsiktet,fear
utilsiktet,surprise
ved et uhell,surprise
utmerkelse,anticipation
utmerkelse,joy
utmerkelse,surprise
utmerkelse,trust
akkompagnement,anticipation
akkompagnement,joy
akkompagnement,trust
utrette,joy
oppnås,joy
accord,trust
konto,trust
ansvarlighet,trust
ansvarlig,trust
regnskapsfører,trust
kontoer,trust
akkreditert,trust
korrekt,trust
forbannet,anger
forbannet,fear
forbannet,sadness
anklage,anger
anklage,disgust
tiltalte,anger
tiltalte,fear
anklageren,anger
anklageren,fear
anklagende,anger
anklagende,fear
smerte,sadness
oppnå,joy
oppnå,trust
oppnåelse,anticipation
oppnåelse,joy
oppnåelse,trust
verk,sadness
anskaffe,anticipation
akrobat,fear
akrobat,joy
akrobat,trust
handlings,anger
handlings,disgust
huggorm,anger
huggorm,disgust
huggorm,fear
huggorm,sadness
adresser,anticipation
holde,trust
avgjøre,fear
administrative,trust
beundringsverdig,joy
beundringsverdig,trust
admiral,trust
beundring,joy
beundring,trust
beundre,trust
tillatelig,trust
formaning,fear
bedårende,joy
tilbedelse,joy
tilbedelse,trust
elsker,anticipation
elsker,joy
elsker,trust
adrift,anticipation
adrift,fear
adrift,sadness
utroskap,disgust
utroskap,sadness
avansere,anticipation
avansere,fear
avansere,joy
avansere,surprise
advent,anticipation
advent,joy
advent,trust
eventyr,anticipation
motpart,anger
uheldig,anger
uheldig,disgust
uheldig,fear
uheldig,sadness
motgang,anger
motgang,fear
motgang,sadness
råd,trust
tilrådelig,trust
rådgi,trust
rådes,trust
rådgiver,trust
beslutningspåvirkning,anger
beslutningspåvirkning,anticipation
beslutningspåvirkning,joy
beslutningspåvirkning,trust
advokat,trust
estetikk,joy
kjærlighet,joy
kjærlighet,trust
bekrefte,trust
bekreftende,trust
plage,fear
plage,sadness
lidelse,disgust
lidelse,fear
lidelse,sadness
velstand,joy
krenkelse,anger
krenkelse,disgust
krenkelse,fear
krenkelse,sadness
krenkelse,surprise
redd,fear
kjølvannet,anger
kjølvannet,disgust
kjølvannet,fear
kjølvannet,sadness
forverret,anger
irriterende,anger
irriterende,sadness
forverring,anger
forverring,disgust
aggresjon,anger
aggresjon,fear
aggressiv,anger
aggressiv,fear
angriper,anger
angriper,fear
forferdet,disgust
forferdet,fear
forferdet,surprise
opphisset,anger
agitasjon,anger
pinefull,fear
smerte,anger
smerte,fear
behagelig,trust
avtalt,trust
enige,trust
avtale,trust
ail,sadness
skrantende,fear
skrantende,sadness
flyplassen,anticipation
airs,disgust
beslektet,trust
alarm,fear
alarm,surprise
foruroligende,fear
foruroligende,surprise
alkoholisme,anger
alkoholisme,disgust
alkoholisme,fear
alkoholisme,sadness
årvåkenhet,anticipation
årvåkenhet,fear
årvåkenhet,surprise
varsler,anticipation
varsler,fear
varsler,surprise
romvesen,disgust
romvesen,fear
fremmedgjøre,anger
fremmedgjøre,disgust
fremmedgjort,sadness
fremmedgjøring,anger
fremmedgjøring,disgust
fremmedgjøring,fear
fremmedgjøring,sadness
i live,anticipation
i live,joy
i live,trust
påstand,anger
troskap,trust
allianse,trust
allierte,trust
allure,anticipation
allure,joy
allure,surprise
alliert,trust
aloha,anticipation
aloha,joy
krangel,anger
forbause,surprise
utrolig,joy
utrolig,surprise
ambassadør,trust
