word,emotion
liczydło,trust
porzucić,fear
porzucić,sadness
opuszczony,anger
opuszczony,fear
opuszczony,sadness
porzucenie,anger
porzucenie,fear
porzucenie,sadness
porzucenie,surprise
opat,trust
uprowadzenie,fear
uprowadzenie,sadness
uprowadzenie,surprise
aberracja,disgust
czuć wstręt,anger
czuć wstręt,disgust
czuć wstręt,fear
odrażający,anger
odrażający,disgust
odrażający,fear
nikczemny,disgust
nieprawidłowy,disgust
znieść,anger
wstrętny,disgust
wstrętny,fear
wstręt,anger
wstręt,disgust
wstręt,fear
poronienie,disgust
poronienie,fear
poronienie,sadness
nieudany,sadness
nagły,surprise
ropień,sadness
brak,fear
brak,sadness
nieobecny,sadness
bumelant,sadness
rozgrzeszenie,joy
rozgrzeszenie,trust
obfitość,anticipation
obfitość,disgust
obfitość,joy
obfitość,trust
obfity,joy
nadużycie,anger
nadużycie,disgust
nadużycie,fear
nadużycie,sadness
bezdenny,sadness
przepaść,fear
przepaść,sadness
akademicki,trust
przyśpieszyć,anticipation
wypadek,fear
wypadek,sadness
wypadek,surprise
przypadkowy,fear
przypadkowy,surprise
przypadkowo,surprise
uznanie,anticipation
uznanie,joy
uznanie,surprise
uznanie,trust
akompaniament,anticipation
akompaniament,joy
akompaniament,trust
ukończyć,joy
znakomity,joy
porozumienie,trust
konto,trust
odpowiedzialność,trust
odpowiedzialny,trust
księgowa,trust
konta,trust
akredytowany,trust
dokładny,trust
przeklęty,anger
przeklęty,fear
przeklęty,sadness
oskarżenie,anger
oskarżenie,disgust
oskarżony,anger
oskarżony,fear
oskarżyciel,anger
oskarżyciel,fear
oskarżając,anger
oskarżając,fear
ból,sadness
osiągać,joy
osiągać,trust
osiągnięcie,anticipation
osiągnięcie,joy
osiągnięcie,trust
zbolały,sadness
nabywanie,anticipation
akrobata,fear
akrobata,joy
akrobata,trust
zaskarżalny,anger
zaskarżalny,disgust
sumator,anger
sumator,disgust
sumator,fear
sumator,sadness
adresy,anticipation
przyleganie,trust
orzec,fear
Administracyjny,trust
zachwycający,joy
zachwycający,trust
admirał,trust
podziw,joy
podziw,trust
podziwiać,trust
dopuszczalny,trust
napomnienie,fear
godny podziwu,joy
adoracja,joy
adoracja,trust
adorować,anticipation
adorować,joy
adorować,trust
dryfujący,anticipation
dryfujący,fear
dryfujący,sadness
cudzołóstwo,disgust
cudzołóstwo,sadness
postęp,anticipation
postęp,fear
postęp,joy
postęp,surprise
Adwent,anticipation
Adwent,joy
Adwent,trust
przygoda,anticipation
przeciwnik,anger
niekorzystny,anger
niekorzystny,disgust
niekorzystny,fear
niekorzystny,sadness
nieszczęście,anger
nieszczęście,fear
nieszczęście,sadness
Rada,trust
wskazany,trust
doradzać,trust
rozmyślny,trust
doradca,trust
rzecznictwo,anger
rzecznictwo,anticipation
rzecznictwo,joy
rzecznictwo,trust
rzecznik,trust
estetyka,joy
tkliwość,joy
tkliwość,trust
potwierdzać,trust
afirmatywnie,trust
dotknąć,fear
dotknąć,sadness
cierpienie,disgust
cierpienie,fear
cierpienie,sadness
zamożność,joy
afront,anger
afront,disgust
afront,fear
afront,sadness
afront,surprise
przestraszony,fear
następstwa,anger
następstwa,disgust
następstwa,fear
następstwa,sadness
pogarsza się,anger
obciążający,anger
obciążający,sadness
pogorszenie,anger
pogorszenie,disgust
agresja,anger
agresja,fear
agresywny,anger
agresywny,fear
agresor,anger
agresor,fear
przerażony,disgust
przerażony,fear
przerażony,surprise
poruszony,anger
podniecenie,anger
bolesny,fear
agonia,anger
agonia,fear
agonia,sadness
przyjemny,trust
Zgoda,trust
zgodzić się,trust
umowa,trust
chorować,sadness
schorowany,fear
schorowany,sadness
Lotnisko,anticipation
powietrze,disgust
pokrewny,trust
alarm,fear
alarm,surprise
alarmujące,fear
alarmujące,surprise
alkoholizm,anger
alkoholizm,disgust
alkoholizm,fear
alkoholizm,sadness
czujność,anticipation
czujność,fear
czujność,surprise
ostrzeżenia,anticipation
ostrzeżenia,fear
ostrzeżenia,surprise
obcy,disgust
obcy,fear
zrazić,anger
zrazić,disgust
wyobcowany,sadness
alienacja,anger
alienacja,disgust
alienacja,fear
alienacja,sadness
żywy,anticipation
żywy,joy
żywy,trust
zarzut,anger
wierność,trust
Sojusz,trust
sprzymierzony,trust
wabić,anticipation
wabić,joy
wabić,surprise
sprzymierzyć,trust
aloha,anticipation
aloha,joy
sprzeczka,anger
zadziwiać,surprise
zadziwiająco,joy
zadziwiająco,surprise
ambasador,trust
ambicja,anticipation
ambicja,joy
ambicja,trust
ambulans,fear
ambulans,trust
zasadzka,anger
zasadzka,fear
zasadzka,surprise
Amen,joy
Amen,trust
przyjazny,joy
amoniak,disgust
amnestia,joy
amortyzacja,trust
amfetaminy,disgust
bawić,joy
rozbawiony,joy
rozrywka,joy
zabawny,joy
anakonda,disgust
anakonda,fear
analityk,anticipation
analityk,trust
anarchizm,anger
anarchizm,fear
anarchista,anger
anarchista,fear
anarchia,anger
anarchia,fear
anatema,anger
anatema,disgust
anatema,fear
anatema,sadness
rodowy,trust
zamocowanie,sadness
anioł,anticipation
anioł,joy
anioł,surprise
anioł,trust
anielski,joy
anielski,trust
gniew,anger
angina,fear
wędkowanie,anticipation
zły,anger
zły,disgust
boleść,anger
boleść,fear
boleść,sadness
ożywiony,joy
animozja,anger
animozja,disgust
animozja,fear
animozja,sadness
zniszczyć,anger
zniszczyć,fear
unicestwiony,anger
unicestwiony,fear
unicestwiony,sadness
unicestwienie,anger
unicestwienie,fear
unicestwienie,sadness
ogłoszenie,anticipation
denerwować,anger
denerwować,disgust
kłopot,anger
kłopot,disgust
denerwujący,anger
unieważnienie,sadness
anomalia,fear
anomalia,surprise
odpowiedzialny za coś,trust
antagonizm,anger
antagonista,anger
antagonistyczny,anger
antagonistyczny,disgust
wąglik,disgust
wąglik,fear
wąglik,sadness
antychryst,anger
antychryst,disgust
antychryst,fear
przewidywanie,anticipation
przedterminowy,anticipation
antidotum,anticipation
antidotum,trust
przeciwgrzybicze,trust
niechęć,anger
niechęć,disgust
antyseptyczny,trust
antyspołeczny,anger
antyspołeczny,disgust
antyspołeczny,fear
antyspołeczny,sadness
antyteza,anger
niepokój,anger
niepokój,anticipation
niepokój,fear
niepokój,sadness
niespokojny,anticipation
niespokojny,fear
apache,fear
apatyczny,sadness
apatia,sadness
mszyca,disgust
przepraszający,trust
przepraszać,sadness
przepraszać,trust
apostoł,trust
apostolski,trust
przerażający,disgust
przerażający,fear
zjawa,fear
zjawa,surprise
apel,anticipation
zapalenie wyrostka robaczkowego,fear
zapalenie wyrostka robaczkowego,sadness
oklaski,joy
oklaski,surprise
oklaski,trust
petent,anticipation
zrozumieć,fear
lęk,fear
lękliwy,anticipation
lękliwy,fear
uczeń,trust
zbliżający się,anticipation
aprobata,trust
zatwierdzać,joy
zatwierdzać,trust
arbiter,trust
arbitraż,anticipation
archeologia,anticipation
architektura,trust
żarliwy,anticipation
żarliwy,joy
kłócić się,anger
argument,anger
argumentacja,anger
argumenty,anger
jałowy,sadness
uzbrojenie,anger
uzbrojenie,fear
zbrojenia,fear
uzbrojony,anger
uzbrojony,fear
zbroja,fear
zbroja,trust
opancerzony,fear
zbrojownia,trust
wzbudzać,anticipation
postawienie w stan oskarżenia,anger
postawienie w stan oskarżenia,fear
postawienie w stan oskarżenia,sadness
przyjazd,anticipation
przybyć,anticipation
arogancki,anger
arogancki,disgust
arsen,disgust
arsen,fear
arsen,sadness
podpalenie,anger
podpalenie,fear
sztuka,anticipation
sztuka,joy
sztuka,sadness
sztuka,surprise
artyleria,fear
zawstydzony,disgust
zawstydzony,sadness
proch,sadness
żmija,fear
dążenie,anticipation
dążenie,joy
dążenie,surprise
dążenie,trust
aspirować,anticipation
aspirować,joy
ambitny,anticipation
ambitny,joy
ambitny,trust
atakować,anger
atakować,fear
atakować,surprise
napastnik,anger
napastnik,fear
napastnik,sadness
morderca,anger
morderca,fear
morderca,sadness
dokonać zamachu,anger
dokonać zamachu,fear
zamach,anger
zamach,fear
zamach,sadness
atak,anger
atak,fear
montaż,trust
twierdząc,trust
oszacowanie,surprise
oszacowanie,trust
asesor,trust
dupek,anger
dupek,disgust
mandatariusz,trust
wspierać,trust
współpracownik,trust
stowarzyszenie,trust
zapewnienie,trust
gwarantować,trust
zapewniony,trust
zapewne,trust
zdziwienie,joy
zdziwienie,surprise
zabłąkany,fear
astrolog,anticipation
astronom,anticipation
przytułek,fear
asymetria,disgust
miażdżyca,fear
miażdżyca,sadness
odpokutować,anticipation
odpokutować,joy
odpokutować,trust
okrutny,anger
okrutny,disgust
okrucieństwo,anger
okrucieństwo,disgust
okrucieństwo,fear
okrucieństwo,sadness
zanik,disgust
zanik,fear
zanik,sadness
napadający,anger
napadający,disgust
napadający,fear
napadający,sadness
napadający,surprise
osiągalny,anticipation
próba,anticipation
frekwencja,anticipation
obsługujący,trust
uważny,trust
osłabienie,sadness
zaświadczać,trust
zaświadczenie,trust
adwokat,anger
adwokat,fear
adwokat,trust
Aukcja,anticipation
publiczność,anticipation
rewident księgowy,fear
rewident księgowy,trust
ciocia,trust
pomyślny,anticipation
pomyślny,joy
surowy,fear
surowy,sadness
autentyczny,joy
autentyczny,trust
uwierzytelniać,trust
poświadczenie,trust
autentyczność,trust
autor,trust
autorytatywny,trust
autorytet,trust
upoważnienie,trust
autoryzować,trust
automatyczny,trust
autopsja,disgust
autopsja,fear
autopsja,sadness
lawina,fear
lawina,sadness
lawina,surprise
chciwość,anger
chciwość,disgust
mściciel,anger
niechętny,anger
niechętny,disgust
niechętny,fear
niechęć,fear
uniknąć,fear
unikanie,fear
czekać na,anticipation
nagroda,anticipation
nagroda,joy
nagroda,surprise
nagroda,trust
straszny,anger
straszny,disgust
straszny,fear
straszny,sadness
nieporadność,disgust
aksjomat,trust
aksjomatyczny,trust
pawian,disgust
dziecko,joy
opiekunka dziecięca,trust
kręgosłup,anger
kręgosłup,trust
zwolennik,trust
wstecz,disgust
łacha,sadness
bakteria,disgust
bakteria,fear
bakteria,sadness
zły,fear
zły,sadness
odznaka,trust
borsuk,anger
źle,sadness
niegodziwość,anger
niegodziwość,disgust
niegodziwość,fear
komornik,fear
komornik,trust
przynęta,fear
przynęta,trust
bela,fear
balotować,anticipation
balotować,trust
balsam,anticipation
balsam,joy
zmora,anger
zmora,disgust
zmora,fear
huk,anger
huk,disgust
huk,fear
huk,sadness
huk,surprise
banger,anger
banger,anticipation
banger,fear
banger,surprise
wygnać,anger
wygnać,disgust
wygnać,fear
wygnać,sadness
wygnany,anger
wygnany,fear
wygnany,sadness
wygnanie,anger
wygnanie,disgust
wygnanie,sadness
Bank,trust
bankier,trust
upadły,fear
upadły,sadness
bankructwo,anger
bankructwo,disgust
bankructwo,fear
bankructwo,sadness
bankiet,anticipation
bankiet,joy
banshee,anger
banshee,disgust
banshee,fear
banshee,sadness
chrzcielny,joy
kolec,anger
barbarzyńca,fear
barbarzyński,anger
barbarzyński,disgust
barbarzyński,fear
barf,disgust
okazja,trust
szczekać,anger
barykada,fear
bariera,anger
kurhan,disgust
barman,trust
frymarczenie,trust
baza,trust
Koszykówka,anticipation
Koszykówka,joy
drań,disgust
drań,sadness
bastion,anger
batalion,anger
rzadkie ciasto,anger
rzadkie ciasto,fear
poobijany,fear
poobijany,sadness
bateria,anger
bitwa,anger
walczył,anger
walczył,fear
walczył,sadness
pole bitwy,fear
bagnetowy,anger
bagnetowy,fear
plaża,joy
Belka,joy
rozpromieniony,anticipation
rozpromieniony,joy
Niedźwiedź,anger
Niedźwiedź,fear
niedźwiedzi,anger
niedźwiedzi,fear
bestia,anger
bestia,fear
nieludzki,disgust
nieludzki,fear
bicie,anger
bicie,fear
bicie,sadness
upiększanie,joy
upiększanie,trust
piękny,joy
upiększać,joy
piękno,joy
podłoże skalne,trust
pszczoła,anger
pszczoła,fear
piwo,joy
zaprzyjaźnić się z,joy
zaprzyjaźnić się z,trust
błagać,sadness
żebrak,sadness
zaczął,anticipation
potwór,fear
uwierzyli,trust
Wierny,trust
wierząc,trust
bagatelizować,anger
bagatelizować,disgust
bagatelizować,fear
bagatelizować,sadness
wojujący,anger
wojujący,fear
miechy,anger
pas,anger
pas,fear
dobroczyńca,trust
życzliwość,joy
życzliwość,trust
łagodny,joy
zapis,trust
pogrążony w smutku,sadness
żałoba,sadness
szał,anger
bestialski,disgust
bestialski,fear
zdradzać,anger
zdradzać,disgust
zdradzać,sadness
zdradzać,surprise
zdrada,anger
zdrada,disgust
zdrada,sadness
narzeczony,anticipation
narzeczony,joy
narzeczony,trust
strzec się,anticipation
strzec się,fear
oszołomiony,fear
oszołomiony,surprise
oszołomienie,fear
oszołomienie,surprise
stronniczość,anger
sprzeczka,disgust
dwuletni,anticipation
bigot,anger
bigot,disgust
bigot,fear
zajadły,anger
zajadły,disgust
zajadły,fear
zajadły,sadness
żółć,anger
żółć,disgust
biopsja,fear
brzozowy,anger
brzozowy,disgust
brzozowy,fear
narodziny,anticipation
narodziny,fear
narodziny,joy
narodziny,trust
urodziny,anticipation
urodziny,joy
urodziny,surprise
