word,emotion
abac,trust
abandon,fear
abandon,sadness
abandonat,anger
abandonat,fear
abandonat,sadness
abandon,anger
abandon,surprise
stareţ,trust
răpire,fear
răpire,sadness
răpire,surprise
aberaţie,disgust
detesta,anger
detesta,disgust
detesta,fear
respingător,anger
respingător,disgust
respingător,fear
abject,disgust
anormal,disgust
aboli,anger
abominabil,disgust
abominabil,fear
scârbă,anger
scârbă,disgust
scârbă,fear
intrerupere de sarcina,disgust
intrerupere de sarcina,fear
intrerupere de sarcina,sadness
nereușit,sadness
brusc,surprise
abces,sadness
absență,fear
absență,sadness
absent,sadness
iertare,joy
iertare,trust
abundenţă,anticipation
abundenţă,disgust
abundenţă,joy
abundenţă,trust
abundent,joy
abuz,anger
abuz,disgust
abuz,fear
abuz,sadness
abisal,sadness
abis,fear
abis,sadness
academic,trust
accelera,anticipation
accident,fear
accident,sadness
accident,surprise
accidental,fear
accidental,surprise
acoladă,anticipation
acoladă,joy
acoladă,surprise
acoladă,trust
acompaniament,anticipation
acompaniament,joy
acompaniament,trust
realiza,joy
realizat,joy
acord,trust
cont,trust
responsabilitate,trust
responsabil,trust
contabil,trust
conturi,trust
acreditat,trust
precis,trust
blestemat,anger
blestemat,fear
blestemat,sadness
acuzare,anger
acuzare,disgust
acuzat,anger
acuzat,fear
acuzator,anger
acuzator,fear
acuzare,fear
durere,sadness
obține,joy
obține,trust
realizare,anticipation
realizare,joy
realizare,trust
dureros,sadness
dobândirea,anticipation
acrobat,fear
acrobat,joy
acrobat,trust
atacabil,anger
atacabil,disgust
sumator,anger
sumator,disgust
sumator,fear
sumator,sadness
adrese,anticipation
aderare,trust
adjudeca,fear
administrativ,trust
admirabil,joy
admirabil,trust
amiral,trust
admirație,joy
admirație,trust
admira,trust
admisibil,trust
admonestare,fear
adorabil,joy
adorare,joy
adorare,trust
adora,anticipation
adora,joy
adora,trust
în voia valurilor,anticipation
în voia valurilor,fear
în voia valurilor,sadness
adulter,disgust
adulter,sadness
avans,anticipation
avans,fear
avans,joy
avans,surprise
venire,anticipation
venire,joy
venire,trust
aventură,anticipation
adversar,anger
advers,anger
advers,disgust
advers,fear
advers,sadness
adversitate,anger
adversitate,fear
adversitate,sadness
sfat,trust
recomandabil,trust
recomanda,trust
avizat,trust
consilier,trust
susținere,anger
susținere,anticipation
susținere,joy
susținere,trust
avocat,trust
estetică,joy
afecţiune,joy
