word,emotion
счеты,trust
отказаться от,fear
отказаться от,sadness
заброшенный,anger
заброшенный,fear
заброшенный,sadness
оставление,anger
оставление,fear
оставление,sadness
оставление,surprise
аббат,trust
отведение,fear
отведение,sadness
отведение,surprise
аберрация,disgust
питать отвращение,anger
питать отвращение,disgust
питать отвращение,fear
отвратительный,anger
отвратительный,disgust
отвратительный,fear
униженный,disgust
ненормальный,disgust
упразднять,anger
мерзость,anger
мерзость,disgust
мерзость,fear
аборт,disgust
аборт,fear
аборт,sadness
абортивный,sadness
крутой,surprise
абсцесс,sadness
отсутствие,fear
отсутствие,sadness
нет на месте,sadness
отсутствующий,sadness
отпущение грехов,joy
отпущение грехов,trust
изобилие,anticipation
изобилие,disgust
изобилие,joy
изобилие,trust
обильный,joy
злоупотребление,anger
злоупотребление,disgust
злоупотребление,fear
злоупотребление,sadness
бездонный,sadness
бездна,fear
бездна,sadness
академический,trust
ускорять,anticipation
авария,fear
авария,sadness
авария,surprise
случайный,fear
случайный,surprise
случайно,surprise
акколада,anticipation
акколада,joy
акколада,surprise
акколада,trust
сопровождение,anticipation
сопровождение,joy
сопровождение,trust
выполнять,joy
осуществляется,joy
согласие,trust
Счет,trust
подотчетность,trust
подотчетный,trust
бухгалтер,trust
Счета,trust
аккредитованный,trust
точный,trust
проклятый,anger
проклятый,fear
проклятый,sadness
обвинение,anger
обвинение,disgust
обвиняемый,anger
обвиняемый,fear
обвинитель,anger
обвинитель,fear
обвинение,fear
боль,sadness
достигать,joy
достигать,trust
достижение,anticipation
достижение,joy
достижение,trust
болящий,sadness
приобретение,anticipation
акробат,fear
акробат,joy
акробат,trust
действенные,anger
действенные,disgust
сумматор,anger
сумматор,disgust
сумматор,fear
сумматор,sadness
адреса,anticipation
придерживаясь,trust
выносить приговор,fear
административный,trust
замечательный,joy
замечательный,trust
адмирал,trust
восхищение,joy
восхищение,trust
восхищаться,trust
допустимый,trust
замечание,fear
обожаемый,joy
обожание,joy
обожание,trust
обожать,anticipation
обожать,joy
обожать,trust
дрейфовать,anticipation
дрейфовать,fear
дрейфовать,sadness
прелюбодеяние,disgust
прелюбодеяние,sadness
продвижение,anticipation
продвижение,fear
продвижение,joy
продвижение,surprise
приход,anticipation
приход,joy
приход,trust
приключение,anticipation
состязательный,anger
неблагоприятный,anger
неблагоприятный,disgust
неблагоприятный,fear
неблагоприятный,sadness
напасти,anger
напасти,fear
напасти,sadness
совет,trust
рекомендуемый,trust
консультировать,trust
рекомендуется,trust
консультант,trust
пропаганда,anger
пропаганда,anticipation
пропаганда,joy
пропаганда,trust
адвокат,trust
эстетика,joy
привязанность,joy
привязанность,trust
утверждать,trust
утвердительно,trust
тревожить,fear
тревожить,sadness
недуг,disgust
недуг,fear
недуг,sadness
наплыв,joy
оскорбление,anger
оскорбление,disgust
оскорбление,fear
оскорбление,sadness
оскорбление,surprise
боюсь,fear
отава,anger
отава,disgust
отава,fear
отава,sadness
усугубленный,anger
ухудшающий,anger
ухудшающий,sadness
усугубление,anger
усугубление,disgust
агрессия,anger
агрессия,fear
агрессивный,anger
агрессивный,fear
агрессор,anger
агрессор,fear
ошеломленный,disgust
ошеломленный,fear
ошеломленный,surprise
взволнованный,anger
агитация,anger
мучительный,fear
агония,anger
агония,fear
агония,sadness
приятный,trust
согласовано,trust
соглашаясь,trust
соглашение,trust
Айыл,sadness
больной,fear
больной,sadness
аэропорт,anticipation
арии,disgust
похожий,trust
аварийная сигнализация,fear
аварийная сигнализация,surprise
тревожный,fear
тревожный,surprise
алкоголизм,anger
алкоголизм,disgust
алкоголизм,fear
алкоголизм,sadness
настороженность,anticipation
настороженность,fear
настороженность,surprise
оповещения,anticipation
оповещения,fear
оповещения,surprise
инопланетянин,disgust
инопланетянин,fear
отчуждать,anger
отчуждать,disgust
отчужденный,sadness
отчуждение,anger
отчуждение,disgust
отчуждение,fear
отчуждение,sadness
в живых,anticipation
в живых,joy
в живых,trust
утверждение,anger
верность,trust
союз,trust
союзный,trust
завлекать,anticipation
завлекать,joy
завлекать,surprise
союзник,trust
алоха,anticipation
алоха,joy
перебранка,anger
поражать,surprise
удивительно,joy
удивительно,surprise
посол,trust
амбиция,anticipation
амбиция,joy
амбиция,trust
скорая помощь,fear
скорая помощь,trust
засада,anger
засада,fear
засада,surprise
аминь,joy
аминь,trust
дружный,joy
аммиак,disgust
амнистировать,joy
амортизация,trust
амфетамины,disgust
озадачивать,joy
довольный,joy
развлечение,joy
забавный,joy
анаконда,disgust
анаконда,fear
аналитик,anticipation
аналитик,trust
анархизм,anger
анархизм,fear
анархист,anger
анархист,fear
анархия,anger
анархия,fear
анафема,anger
анафема,disgust
анафема,fear
анафема,sadness
наследственный,trust
анкеровка,sadness
ангел,anticipation
ангел,joy
ангел,surprise
ангел,trust
ангельский,joy
ангельский,trust
гнев,anger
стенокардия,fear
ужение,anticipation
сердитый,anger
сердитый,disgust
мучение,anger
мучение,fear
мучение,sadness
мультипликационный,joy
злоба,anger
злоба,disgust
злоба,fear
злоба,sadness
предубеждение,anger
аннигилировать,anger
аннигилировать,fear
уничтоженный,anger
уничтоженный,fear
уничтоженный,sadness
уничтожение,anger
уничтожение,fear
уничтожение,sadness
объявление,anticipation
раздражать,anger
раздражать,disgust
досада,anger
досада,disgust
раздражающий,anger
упразднение,sadness
аномалия,fear
аномалия,surprise
антагонизм,anger
антагонист,anger
антагонистический,anger
антагонистический,disgust
сибирская язва,disgust
сибирская язва,fear
сибирская язва,sadness
антихрист,anger
антихрист,disgust
антихрист,fear
предвосхищение,anticipation
досрочный,anticipation
антидот,anticipation
антидот,trust
противогрибковый,trust
антипатия,anger
антипатия,disgust
антисептик,trust
антиобщественный,anger
антиобщественный,disgust
антиобщественный,fear
антиобщественный,sadness
антитеза,anger
тревожность,anger
тревожность,anticipation
тревожность,fear
тревожность,sadness
озабоченный,anticipation
озабоченный,fear
апаш,fear
апатичный,sadness
апатия,sadness
тля,disgust
апологетический,trust
принести извинения,sadness
принести извинения,trust
апостол,trust
апостольский,trust
ужасающий,disgust
ужасающий,fear
привидение,fear
привидение,surprise
обращение,anticipation
аппендицит,fear
аппендицит,sadness
аплодисменты,joy
аплодисменты,surprise
аплодисменты,trust
заявитель,anticipation
признательность,joy
признательность,trust
предчувствовать,fear
опасение,fear
опасающийся,anticipation
опасающийся,fear
подмастерье,trust
приближается,anticipation
апробация,trust
одобрить,joy
одобрить,trust
арбитр,trust
арбитраж,anticipation
археология,anticipation
архитектура,trust
пылкий,anticipation
пылкий,joy
спорить,anger
аргумент,anger
аргументация,anger
аргументы,anger
засушливый,sadness
вооружение,anger
вооружение,fear
вооружений,fear
вооруженный,anger
вооруженный,fear
броня,fear
броня,trust
бронированный,fear
оружейный,trust
пробуждать,anticipation
предъявление обвинения,anger
предъявление обвинения,fear
предъявление обвинения,sadness
прибытие,anticipation
прибыть,anticipation
высокомерный,anger
высокомерный,disgust
мышьяк,disgust
мышьяк,fear
мышьяк,sadness
поджог,anger
поджог,fear
Изобразительное искусство,anticipation
Изобразительное искусство,joy
Изобразительное искусство,sadness
Изобразительное искусство,surprise
артиллерия,fear
совестно,disgust
совестно,sadness
пепел,sadness
гадюка,fear
стремление,anticipation
стремление,joy
стремление,surprise
стремление,trust
стремиться,anticipation
стремиться,joy
стремящийся,anticipation
стремящийся,joy
стремящийся,trust
нападать,anger
нападать,fear
нападать,surprise
зачинщик,anger
зачинщик,fear
зачинщик,sadness
убийца,anger
убийца,fear
убийца,sadness
убивать,anger
убивать,fear
убийство,anger
убийство,fear
убийство,sadness
нападение,anger
нападение,fear
сборка,trust
утверждая,trust
оценка,surprise
оценка,trust
асессор,trust
Мудак,anger
Мудак,disgust
правопреемник,trust
помощь,trust
ассоциировать,trust
ассоциация,trust
гарантия,trust
уверять,trust
уверенный,trust
конечно,trust
удивление,joy
удивление,surprise
заблудившись,fear
астролог,anticipation
астроном,anticipation
убежище,fear
асимметрия,disgust
атеросклероз,fear
атеросклероз,sadness
искупать,anticipation
искупать,joy
искупать,trust
зверство,anger
зверство,disgust
зверство,fear
зверство,sadness
атрофия,disgust
атрофия,fear
атрофия,sadness
атака,anger
атака,fear
нападающий,anger
нападающий,disgust
нападающий,fear
нападающий,sadness
нападающий,surprise
достижимый,anticipation
попытка,anticipation
посещаемость,anticipation
служитель,trust
внимательный,trust
затухание,sadness
удостоверять,trust
засвидетельствование,trust
адвокат,anger
адвокат,fear
аукцион,anticipation
аудитория,anticipation
аудитор,fear
аудитор,trust
тетка,trust
благоприятный,anticipation
благоприятный,joy
аскетический,fear
аскетический,sadness
аутентичный,joy
аутентичный,trust
проверять подлинность,trust
аутентификация,trust
подлинность,trust
автор,trust
авторитетный,trust
власть,trust
авторизация,trust
санкционировать,trust
автоматический,trust
вскрытие трупа,disgust
вскрытие трупа,fear
вскрытие трупа,sadness
лавина,fear
лавина,sadness
лавина,surprise
алчность,anger
алчность,disgust
мститель,anger
прочь,anger
прочь,disgust
прочь,fear
антипатия,fear
избежать,fear
уклонение,fear
избегая,fear
Ждите,anticipation
награда,anticipation
награда,joy
награда,surprise
награда,trust
ужасный,anger
ужасный,disgust
ужасный,fear
ужасный,sadness
неловкость,disgust
аксиома,trust
аксиоматический,trust
бабуин,disgust
детка,joy
няня,trust
позвоночник,anger
позвоночник,trust
поручитель,trust
назад,disgust
заводь,sadness
бактерии,disgust
бактерии,fear
бактерии,sadness
Плохо,anger
Плохо,disgust
Плохо,fear
Плохо,sadness
значок,trust
барсук,anger
плохо,sadness
негодность,anger
негодность,disgust
негодность,fear
судебный пристав,fear
судебный пристав,trust
приманка,fear
приманка,trust
тюк,fear
голосование,anticipation
голосование,trust
бальзам,anticipation
бальзам,joy
отрава,anger
отрава,disgust
отрава,fear
бах,anger
бах,disgust
бах,fear
бах,sadness
бах,surprise
сосиска,anger
сосиска,anticipation
сосиска,fear
сосиска,surprise
отгонять,anger
отгонять,disgust
отгонять,fear
отгонять,sadness
изгнанный,anger
изгнанный,fear
изгнанный,sadness
высылка,anger
высылка,disgust
высылка,sadness
банка,trust
банкир,trust
банкрот,fear
банкрот,sadness
банкротство,anger
банкротство,disgust
банкротство,fear
банкротство,sadness
банкет,anticipation
банкет,joy
сирена воздушной тревоги,anger
сирена воздушной тревоги,disgust
сирена воздушной тревоги,fear
сирена воздушной тревоги,sadness
крестильный,joy
бородка,anger
варвар,fear
варварский,anger
варварский,disgust
варварский,fear
блевать,disgust
сделка,trust
лай,anger
бесплодный,sadness
баррикада,fear
барьер,anger
курган,disgust
бармен,trust
бартер,trust
база,trust
баскетбол,anticipation
баскетбол,joy
Ублюдок,disgust
Ублюдок,sadness
бастион,anger
батальон,anger
долбить,anger
долбить,fear
разбитый,fear
разбитый,sadness
аккумулятор,anger
боевой,anger
боролись,anger
боролись,fear
боролись,sadness
поле битвы,fear
штыковой,anger
штыковой,fear
пляж,joy
луч,joy
лучезарный,anticipation
лучезарный,joy
медведь,anger
медведь,fear
медвежий,anger
медвежий,fear
зверь,anger
зверь,fear
зверский,disgust
зверский,fear
битье,anger
битье,fear
битье,sadness
благоустройство,joy
благоустройство,trust
красивая,joy
украшать,joy
красота,joy
коренная порода,trust
пчела,anger
пчела,fear
пиво,joy
помогать,joy
помогать,trust
очень прошу,sadness
нищий,sadness
начатый,anticipation
бегемот,fear
"Считается,",trust
верующий,trust
полагая,trust
умалить,anger
умалить,disgust
умалить,fear
умалить,sadness
воинственный,anger
воинственный,fear
сильфон,anger
ремень,anger
ремень,fear
благодетель,trust
благожелательность,joy
благожелательность,trust
доброкачественный,joy
наследство,trust
скорбящий,sadness
тяжелая утрата,sadness
неистовый,anger
развратный,disgust
развратный,fear
предавать,anger
предавать,disgust
предавать,sadness
предавать,surprise
предательство,anger
предательство,disgust
предательство,sadness
обручена,anticipation
обручена,joy
обручена,trust
остерегаться,anticipation
остерегаться,fear
озадаченный,fear
озадаченный,surprise
недоумение,fear
недоумение,surprise
смещение,anger
ссора,anger
ссора,disgust
двухгодичный,anticipation
изувер,anger
изувер,disgust
изувер,fear
нетерпимый,anger
нетерпимый,disgust
нетерпимый,fear
нетерпимый,sadness
желчь,anger
желчь,disgust
биопсия,fear
береза,anger
береза,disgust
береза,fear
рождение,anticipation
рождение,fear
рождение,joy
рождение,trust
день рождения,anticipation
день рождения,joy
день рождения,surprise
место рождения,anger
сука,anger
сука,disgust
сука,fear
сука,sadness
горько,anger
горько,disgust
горько,sadness
горечь,anger
горечь,disgust
горечь,sadness
эксцентричный,surprise
шантажировать,anger
шантажировать,fear
чернота,fear
чернота,sadness
вина,anger
вина,disgust
одеяло,trust
богохульный,anger
богохульный,disgust
богохульство,anger
взрыв,anger
взрыв,fear
взрыв,surprise
вопиющий,anger
вопиющий,disgust
полыхать,anger
мрачный,sadness
кровотечение,disgust
кровотечение,fear
кровотечение,sadness
порок,anger
порок,disgust
порок,fear
порок,sadness
благословить,anticipation
благословить,joy
благословить,trust
благословенный,joy
благословение,anticipation
благословение,joy
благословение,trust
благословения,anticipation
благословения,joy
благословения,surprise
благословения,trust
отравлять,disgust
отравлять,fear
отравлять,sadness
омрачена,disgust
омрачена,sadness
повязка на глаза,anticipation
повязка на глаза,fear
повязка на глаза,surprise
слепо,sadness
слепота,sadness
блаженство,joy
блаженный,joy
волдырь,disgust
блицкриг,surprise
раздутый,disgust
капля,disgust
капля,fear
блокада,anger
блокада,fear
блокада,sadness
кровопролитие,anger
кровопролитие,disgust
кровопролитие,fear
кровопролитие,sadness
кровопролитие,surprise
кровожадный,anger
кровожадный,disgust
кровожадный,fear
кровавый,anger
кровавый,disgust
кровавый,fear
кровавый,sadness
цветение,anticipation
цветение,joy
цветение,trust
цвести,joy
синий,sadness
блюз,fear
блюз,sadness
просчет,disgust
просчет,sadness
доска,anticipation
телохранитель,trust
фиктивный,anger
фиктивный,disgust
кипятить,disgust
неистовый,anticipation
неистовый,joy
бомбить,anger
бомбить,fear
бомбить,sadness
бомбить,surprise
бомбардировать,anger
бомбардировать,fear
бомбардировка,anger
бомбардировка,fear
бомбил,disgust
бомбардировщик,fear
бомбардировщик,sadness
золотое дно,joy
зависимость,fear
зависимость,sadness
бонус,anticipation
бонус,joy
бонус,surprise
бумеранг,anticipation
бумеранг,trust
скука,sadness
утруждая,anger
утруждая,sadness
дно,sadness
бездонный,fear
обильный,anticipation
щедрость,anticipation
щедрость,joy
щедрость,trust
букет,joy
букет,trust
бой,anger
бычий,disgust
кишечник,disgust
заниматься боксом,anger
отруби,disgust
скандалить,anger
скандалить,disgust
скандалить,fear
наглый,anger
ломать,surprise
взяточничество,disgust
свадебный,anticipation
свадебный,joy
свадебный,trust
невеста,anticipation
невеста,joy
невеста,trust
жених,anticipation
жених,joy
жених,trust
подружка невесты,joy
подружка невесты,trust
бригада,fear
просиять,joy
просиять,surprise
просиять,trust
блестящий,anticipation
блестящий,joy
блестящий,trust
сера,anger
сера,fear
бортовой залп,anticipation
жариться,anger
сломал,fear
сломал,sadness
сломанный,anger
сломанный,fear
сломанный,sadness
бордель,disgust
брат,trust
братство,trust
братский,anticipation
братский,joy
братский,trust
синяк,anticipation
главный удар,anger
зверский,anger
скотина,anger
скотина,fear
скотина,sadness
доллар,fear
доллар,surprise
дружище,anticipation
дружище,joy
дружище,trust
бюджет,trust
буфет,anger
ошибка,disgust
ошибка,fear
горн,anticipation
задира,anger
задира,fear
бомж,disgust
бомж,sadness
лентяй,anger
лентяй,disgust
бункерный,fear
обременительный,fear
обременительный,sadness
бюрократия,trust
бюрократ,disgust
взломщик,disgust
взломщик,fear
захоронение,anger
захоронение,fear
захоронение,sadness
похороненный,fear
похороненный,sadness
замять,anger
замять,disgust
замять,fear
замять,sadness
бурлеск,surprise
сожжен,disgust
стипендия,trust
закапывать,sadness
звонкий поцелуй,joy
лопнул,anger
лопнул,fear
мясник,anger
мясник,disgust
мясник,fear
дворецкий,trust
жужжание,anticipation
жужжание,fear
пока,anticipation
в соответствии с законом,trust
интрига,fear
кабинет,trust
кабель,surprise
какофония,anger
какофония,disgust
хам,anger
хам,disgust
труп,disgust
труп,fear
труп,sadness
труп,surprise
клетка,sadness
бедствие,sadness
расчет,anticipation
калькулятор,trust
теленок,joy
теленок,trust
звонки,anticipation
звонки,trust
камуфляж,surprise
агитация,fear
Отмена,sadness
рак,anger
рак,disgust
рак,fear
рак,sadness
беспристрастный,anticipation
беспристрастный,joy
беспристрастный,surprise
беспристрастный,trust
трость,anger
трость,fear
стоматит,anger
стоматит,disgust
каннибал,disgust
каннибал,fear
людоедство,disgust
каноны,trust
кепка,anticipation
кепка,trust
пленять,anticipation
пленять,joy
пленять,surprise
пленять,trust
пленник,fear
пленник,sadness
неволя,sadness
капер,fear
туша,disgust
туша,fear
туша,sadness
карцинома,fear
карцинома,sadness
кардиомиопатия,fear
кардиомиопатия,sadness
карьера,anticipation
небрежность,anger
небрежность,disgust
смотритель,trust
кариес,disgust
резня,anger
резня,disgust
резня,fear
резня,sadness
резня,surprise
плотоядный,fear
Кэрол,joy
Кэрол,trust
картридж,fear
дело,fear
дело,sadness
денежные средства,anger
денежные средства,anticipation
денежные средства,fear
денежные средства,joy
денежные средства,trust
касса,trust
шкатулка,fear
шкатулка,sadness
несчастный случай,anger
несчастный случай,fear
несчастный случай,sadness
катаракта,anticipation
катаракта,fear
катаракта,sadness
катастрофа,anger
катастрофа,disgust
катастрофа,fear
катастрофа,sadness
катастрофа,surprise
поймать,surprise
катехизис,disgust
кафедральный собор,joy
кафедральный собор,trust
осторожность,anger
осторожность,anticipation
осторожность,fear
предостерегающий,fear
осторожный,anticipation
осторожный,fear
осторожный,trust
осторожно,fear
знаменитый,anticipation
знаменитый,joy
празднуя,anticipation
празднуя,joy
праздник,anticipation
праздник,joy
праздник,surprise
праздник,trust
знаменитость,anger
знаменитость,anticipation
знаменитость,disgust
знаменитость,joy
знаменитость,surprise
знаменитость,trust
астрономический,anticipation
астрономический,joy
цемент,anticipation
цемент,trust
кладбище,fear
кладбище,sadness
цензор,anger
цензор,disgust
цензор,fear
цензор,trust
центр,trust
церемония,joy
церемония,surprise
налог,disgust
высевки,anger
высевки,fear
огорчение,disgust
огорчение,sadness
председатель,trust
председательница,trust
вызов,anger
вызов,fear
чемпион,anticipation
чемпион,joy
чемпион,trust
шанс,surprise
канцлер,trust
изменение,fear
Сменный,anticipation
Сменный,surprise
песнопение,anger
песнопение,anticipation
песнопение,joy
песнопение,surprise
хаос,anger
хаос,fear
хаос,sadness
хаотичный,anger
